english_word,word_class,malayalam_translation,transliteration,verb_transitivity,level
"medium (spiritualist, channel)",noun,മാധ്യമം / മധ്യസ്ഥൻ,mādhyamaṁ / madhyasthan,,b2
membership,noun,അംഗത്വം,aṁgatvaṁ,,b2
memorable,adjective,ഓർമ്മിക്കാവുന്ന / സ്മരണീയമായ / അവിസ്മരണീയം,ōrmmikkāvunna / smaraṇīyamāya / avismaraṇīyaṁ,,b2
mental disorder,noun,മാനസികരോഗം / മാനസിക വിഭ്രാന്തി,mānasikarōgaṁ / mānasika vibhrānti,,b2
"mention (acknowledgement, honor)",noun,പരാമർശം / അനുസ്മരണം,parāmarśaṁ / anusmaraṇaṁ,,b2
metaphor,noun,രൂപകം,rūpakaṁ,,b2
midst (location),noun,മധ്യം / നടുക്ക്,madhyaṁ / naṭukk,,b2
military,noun,സൈന്യം / സൈനിക വിഭാഗം,sainyaṁ / sainika vibhāgaṁ,,b2
mill (grinder),noun,മിൽ / യന്ത്രം,mil / yantraṁ,,b2
miner (cryptocurrency),noun,ക്രിപ്റ്റോ മൈനർ / ഖനനം ചെയ്യുന്നയാൾ,kripṟṟō mainar / khananaṁ ceyyunnayāḷ,,b2
miner (occupational),noun,ഖനിത്തൊഴിലാളി / ഖനകൻ,khanittoḻilāḷi / khanakan,,b2
mineral,noun,ധാതു,dhātu,,b2
minimum,noun,കുറഞ്ഞത് / ഏറ്റവും കുറഞ്ഞ അളവ്,kuṟaññat / ēṟṟavuṁ kuṟañña aḷav,,b2
minimum (amount or required quantity),adjective,ഏറ്റവും കുറഞ്ഞ / ചുരുങ്ങിയ,ēṟṟavuṁ kuṟañña / curuṅṅiya,,b2
minimum (noun),noun,കുറഞ്ഞത് / ഏറ്റവും കുറഞ്ഞ അളവ്,kuṟaññat / ēṟṟavuṁ kuṟañña aḷav,,b2
minister (political official),noun,മന്ത്രി,mantri,,b2
minister (religious cleric),noun,പുരോഹിതൻ / പാതിരി / മതപുരോഹിതൻ,purōhitan / pātiri / matapurōhitan,,b2
minor (underage),adjective,പ്രായപൂർത്തിയാകാത്ത / ബാലനായ,prāyapūrttiyākātta / bālanāya,,b2
minority (legal status),noun,ന്യൂനപക്ഷം / പ്രായപൂർത്തിയാകാത്ത അവസ്ഥ,nyūnapakṣaṁ / prāyapūrttiyākātta avastha,,b2
minutes (of a meeting),noun,മിനിറ്റ്സ് / യോഗരേഖ / നടപടിക്രമം,miniṟṟs / yōgarēkha / naṭapaṭikramaṁ,,b2
"miserable (quality, performance)",adjective,മോശം / നിലവാരമില്ലാത്ത / ദയനീയമായ,mōśaṁ / nilavāramillātta / dayanīyamāya,,b2
miserable (wretched or extremely poor quality),adjective,ദയനീയമായ / പരിതാപകരമായ / കഷ്ടപ്പാടുള്ള,dayanīyamāya / paritāpakaramāya / kaṣṭappāṭuḷḷa,,b2
mission (objective or purpose),noun,ലക്ഷ്യം / ഉദ്ദേശ്യം / ദൗത്യം,lakṣyaṁ / uddēśyaṁ / dautyaṁ,,b2
mission (specific task or assignment),noun,ദൗത്യം / ചുമതല / നിയോഗം,dautyaṁ / cumatala / niyōgaṁ,,b2
"mixed (feelings, results)",adjective,സമ്മിശ്രമായ / കലർന്ന / ഇടകലർന്ന,sammiśramāya / kalarnna / iṭakalarnna,,b2
"mixed (group, company)",adjective,സമ്മിശ്രമായ / പലതരം / ഇടകലർന്ന,sammiśramāya / palataraṁ / iṭakalarnna,,b2
"mode (manner, method)",noun,രീതി / ശൈലി,rīti / śaili,,b2
mode (technical setting),noun,മോഡ് / ക്രമീകരണം / പ്രവർത്തനരീതി,mōḍ / kramīkaraṇaṁ / pravarttanarīti,,b2
"modest (amount, size: moderate)",adjective,മിതമായ / കുറഞ്ഞ / സാധാരണമായ,mitamāya / kuṟañña / sādhāraṇamāya,,b2
"modest (clothing, appearance)",adjective,മാന്യമായ / ലളിതമായ / ഒതുക്കമുള്ള,mānyamāya / laḷitamāya / otukkamuḷḷa,,b2
"modest (clothing, behavior: reserved)",adjective,വിനയമുള്ള / ഒതുക്കമുള്ള / ലളിതമായ,vinayamuḷḷa / otukkamuḷḷa / laḷitamāya,,b2
monitor (computer screen),noun,മോണിറ്റർ / സ്ക്രീൻ,mōṇiṟṟar / skrīn,,b2
"monitor (person, supervisor)",noun,നിരീക്ഷകൻ / മേൽനോട്ടക്കാരൻ,nirīkṣakan / mēlnōṭṭakkāran,,b2
monster (cruel person),noun,രാക്ഷസൻ / ദുഷ്ടൻ / ക്രൂരൻ,rākṣasan / duṣṭan / krūran,,b2
monthly (adverb: every month),adjective,പ്രതിമാസം / മാസംതോറും,pratimāsaṁ / māsaṁtōṟuṁ,,b2
monthly (happening regularly),adjective,പ്രതിമാസ / മാസിക,pratimāsa / māsika,,b2
monument,noun,സ്മാരകം / ശില്പം / സ്തൂപം,smārakaṁ / śilpaṁ / stūpaṁ,,b2
moral,adjective,ധാർമ്മികമായ / സദാചാരപരമായ / നീതിയുക്തമായ,dhārmmikamāya / sadācāraparamāya / nītiyuktamāya,,b2
morals,noun,ധാർമ്മികത / സദാചാരം / നീതിബോധം,dhārmmikata / sadācāraṁ / nītibōdhaṁ,,b2
moreover,adverb,കൂടാതെ / അതിനുപുറമെ / മാത്രമല്ല,kūṭāte / atinupuṟame / mātramalla,,b2
"mortgage (the collateral, act)",noun,പണയം / ഈട്,paṇayaṁ / īṭ,,b2
mosque,noun,പള്ളി / മസ്ജിദ്,paḷḷi / masjid,,b2
motion (formal proposal),noun,പ്രമേയം / നിർദ്ദേശം,pramēyaṁ / nirddēśaṁ,,b2
motivation,noun,പ്രചോദനം / പ്രോത്സാഹനം / പ്രേരണ,pracōdanaṁ / prōtsāhanaṁ / prēraṇa,,b2
"motor (relating to engines, vehicles)",adjective,മോട്ടോർ / യന്ത്രസംബന്ധിയായ,mōṭṭōr / yantrasaṁbandhiyāya,,b2
"motor (relating to movement, muscles)",adjective,ചലനസംബന്ധിയായ / പേശീസംബന്ധിയായ,calanasaṁbandhiyāya / pēśīsaṁbandhiyāya,,b2
"motor (vehicle, car)",noun,മോട്ടോർ വാഹനം / കാർ / വാഹനം,mōṭṭōr vāhanaṁ / kār / vāhanaṁ,,b2
moving (emotionally touching),adjective,ഹൃദയസ്പർശിയായ / വികാരനിർഭരമായ,hr̥dayasparśiyāya / vikāranirbharamāya,,b2
moving (in motion),adjective,ചലിക്കുന്ന / സഞ്ചരിക്കുന്ന,calikkunna / sañcarikkunna,,b2
multiple,adjective,ഒന്നിലധികം / നിരവധി / ബഹുവിധ,onniladhikaṁ / niravadhi / bahuvidha,,b2
mysterious,adjective,നിഗൂഢമായ / ദുരൂഹമായ / രഹസ്യമായ,nigūḍhamāya / durūhamāya / rahasyamāya,,b2
myth (false belief),noun,തെറ്റിദ്ധാരണ / മിഥ്യാബോധം / കെട്ടുകഥ,teṟṟiddhāraṇa / mithyābōdhaṁ / keṭṭukatha,,b2
myth (traditional story),noun,ഐതിഹ്യം / പുരാണം / കെട്ടുകഥ,aitihyaṁ / purāṇaṁ / keṭṭukatha,,b2
naked (unclothed),adjective,നഗ്നമായ / വസ്ത്രമില്ലാത്ത,nagnamāya / vastramillātta,,b2
"naked (uncovered, bare)",adjective,തുറന്ന / ആവരണമില്ലാത്ത / നഗ്നമായ,tuṟanna / āvaraṇamillātta / nagnamāya,,b2
"narrative (interpretation, framework)",noun,ആഖ്യാനം / വിവരണം / കാഴ്ചപ്പാട്,ākhyānaṁ / vivaraṇaṁ / kāḻcappāṭ,,b2
"nasty (mean, spiteful)",adjective,ദുഷ്ടനായ / കുടിലമായ / ദ്രോഹകരമായ,duṣṭanāya / kuṭilamāya / drōhakaramāya,,b2
"nasty (serious, dangerous - injury, situation)",adjective,ഗുരുതരമായ / അപകടകരമായ / മോശമായ,gurutaramāya / apakaṭakaramāya / mōśamāya,,b2
"nasty (unpleasant, disgusting)",adjective,അറപ്പുളവാക്കുന്ന / അസുഖകരമായ / മോശമായ,aṟappuḷavākkunna / asukhakaramāya / mōśamāya,,b2
national (citizen),noun,പൗരൻ / ദേശീയൻ,pauran / dēśīyan,,b2
"navigation (digital, website)",noun,നാവിഗേഷൻ / വഴികാട്ടൽ,nāvigēṣan / vaḻikāṭṭal,,b2
nearby (adjective),adjective,അടുത്തുള്ള / സമീപത്തുള്ള,aṭuttuḷḷa / samīpattuḷḷa,,b2
"nearby (adverb, location)",adjective,അടുത്ത് / സമീപത്ത്,aṭutt / samīpatt,,b2
nearby (in the immediate vicinity),adverb,തൊട്ടടുത്ത് / സമീപത്ത്,toṭṭaṭutt / samīpatt,,b2
"neat (tidy, organized)",adjective,വൃത്തിയുള്ള / ചിട്ടയായ / ഭംഗിയുള്ള,vr̥ttiyuḷḷa / ciṭṭayāya / bhaṁgiyuḷḷa,,b2
neat (undiluted drink),adjective,കലർത്താത്ത / ശുദ്ധമായ,kalarttātta / śuddhamāya,,b2
necessity (essential item),noun,ആവശ്യം / അനിവാര്യം / അത്യാവശ്യം,āvaśyaṁ / anivāryaṁ / atyāvaśyaṁ,,b2
necessity (unavoidable situation),noun,അനിവാര്യത / നിർബന്ധം / ആവശ്യം,anivāryata / nirbandhaṁ / āvaśyaṁ,,b2
need (essential requirement),modal verb,ആവശ്യപ്പെടുക / വേണ്ടിവരുക,āvaśyappeṭuka / vēṇṭivaruka,intransitive,b2
"needle (pointer, indicator on a gauge)",noun,സൂചി,sūci,,b2
"negative (mathematical, electrical)",noun,നെഗറ്റീവ് / ഋണ,negaṟṟīv / r̥ṇa,,b2
negative (photographic film),noun,നെഗറ്റീവ്,negaṟṟīv,,b2
negotiation (bargaining over price),noun,വിലപേശൽ / ചർച്ച / ഒത്തുതീർപ്പ്,vilapēśal / carcca / ottutīrpp,,b2
nerve (anatomical structure),noun,നാഡി,nāḍi,,b2
nerve (courage),noun,ധൈര്യം / ചങ്കൂറ്റം,dhairyaṁ / caṅkūṟṟaṁ,,b2
nerve (impudence),noun,ധിക്കാരം / ധാർഷ്ട്യം,dhikkāraṁ / dhārṣṭyaṁ,,b2
"neutral (color, tone)",adjective,ന്യൂട്രൽ / നിർവ്വീര്യം,nyūṭral / nirvvīryaṁ,,b2
"neutral (impartial, political)",adjective,നിഷ്പക്ഷമായ / പക്ഷപാതമില്ലാത്ത,niṣpakṣamāya / pakṣapātamillātta,,b2
"neutral (science, chemistry)",adjective,നിർവീര്യമായ / ന്യൂട്രൽ,nirvīryamāya / nyūṭral,,b2
nevertheless,adverb,എന്നിരുന്നാലും / എങ്കിലും,ennirunnāluṁ / eṅkiluṁ,,b2
nevertheless (general usage),adverb,എന്നിരുന്നാലും / എങ്കിലും,ennirunnāluṁ / eṅkiluṁ,,b2
"nevertheless (nonetheless, despite that)",adverb,എന്നിരുന്നാലും / എങ്കിലും / എന്നിട്ടും,ennirunnāluṁ / eṅkiluṁ / enniṭṭuṁ,,b2
newly (recently),adverb,പുതുതായി / അടുത്തിടെ / ഈയിടെ,pututāyi / aṭuttiṭe / īyiṭe,,b2
nightmare (terrible situation),noun,ദുരവസ്ഥ / ദുരന്തം / പേടിസ്വപ്നം,duravastha / durantaṁ / pēṭisvapnaṁ,,b2
"norm (social expectation, rule)",noun,നിലവാരം / ആചാരം / നിയമം,nilavāraṁ / ācāraṁ / niyamaṁ,,b2
norm (typical standard),noun,നിലവാരം / സാധാരണ നില,nilavāraṁ / sādhāraṇa nila,,b2
notebook (for writing),noun,നോട്ടുപുസ്തകം / കുറിപ്പുപുസ്തകം,nōṭṭupustakaṁ / kuṟippupustakaṁ,,b2
notebook (laptop computer),noun,ലാപ്ടോപ്പ് / നോട്ട്ബുക്ക്,lāpṭōpp / nōṭṭbukk,,b2
"notion (abstract idea, concept)",noun,ആശയം / സങ്കൽപ്പം,āśayaṁ / saṅkalppaṁ,,b2
notion (vague belief or impression),noun,ധാരണ / ആശയം,dhāraṇa / āśayaṁ,,b2
novelist,noun,നോവലിസ്റ്റ് / നോവലെഴുത്തുകാരൻ,nōvalisṟṟ / nōvaleḻuttukāran,,b2
nowadays,adverb,ഇപ്പോൾ / ഇന്നത്തെക്കാലത്ത് / ഈയിടെയായി / ഈ കാലത്ത്,ippōḷ / innattekkālatt / īyiṭeyāyi / ī kālatt,,b2
nuclear (cell biology),adjective,ന്യൂക്ലിയർ / മർമ്മകീയമായ,nyūkliyar / marmmakīyamāya,,b2
numerous,adjective,ധാരാളം / അനേകം / നിരവധി / ഒട്ടേറെ,dhārāḷaṁ / anēkaṁ / niravadhi / oṭṭēṟe,,b2
nursing (breastfeeding),noun,മുലയൂട്ടൽ / മുലപ്പാൽ കൊടുക്കൽ,mulayūṭṭal / mulappāl koṭukkal,,b2
nursing (professional care),noun,നഴ്സിംഗ് / ശുശ്രൂഷ / പരിചരണം,naḻsiṁg / śuśrūṣa / paricaraṇaṁ,,b2
nutrition,noun,പോഷണം / പോഷകാഹാരം,pōṣaṇaṁ / pōṣakāhāraṁ,,b2
obesity,noun,അമിതവണ്ണം / പൊണ്ണത്തടി / സ്ഥൂലകായം,amitavaṇṇaṁ / poṇṇattaṭi / sthūlakāyaṁ,,b2
objective,noun,ലക്ഷ്യം / ഉദ്ദേശ്യം,lakṣyaṁ / uddēśyaṁ,,b2
objective (external reality),adjective,വസ്തുനിഷ്ഠമായ / യാഥാർത്ഥ്യമായ,vastuniṣṭhamāya / yāthārtthyamāya,,b2
objective (impartial),adjective,നിഷ്പക്ഷമായ / പക്ഷപാതമില്ലാത്ത / വസ്തുനിഷ്ഠമായ,niṣpakṣamāya / pakṣapātamillātta / vastuniṣṭhamāya,,b2
obligation (duty),noun,കടമ / ബാധ്യത / ചുമതല,kaṭama / bādhyata / cumatala,,b2
"obligation (duty, moral necessity)",noun,ധാർമ്മികമായ കടമ / ബാധ്യത / ചുമതല,dhārmmikamāya kaṭama / bādhyata / cumatala,,b2
obligation (liability),noun,ബാധ്യത / കടപ്പാട്,bādhyata / kaṭappāṭ,,b2
"obligation (responsibility, liability)",noun,ഉത്തരവാദിത്തം / ബാധ്യത / ചുമതല,uttaravādittaṁ / bādhyata / cumatala,,b2
"observation (act of watching, studying)",noun,നിരീക്ഷണം / ശ്രദ്ധിക്കൽ / പഠനം,nirīkṣaṇaṁ / śraddhikkal / paṭhanaṁ,,b2
observation (remark),noun,അഭിപ്രായം / നിരീക്ഷണം / പ്രസ്താവന,abhiprāyaṁ / nirīkṣaṇaṁ / prastāvana,,b2
"observation (remark, comment)",noun,അഭിപ്രായം / നിരീക്ഷണം / പരാമർശം,abhiprāyaṁ / nirīkṣaṇaṁ / parāmarśaṁ,,b2
observation (watching),noun,നിരീക്ഷണം / വീക്ഷണം / ശ്രദ്ധിക്കൽ,nirīkṣaṇaṁ / vīkṣaṇaṁ / śraddhikkal,,b2
observer (official representative),noun,നിരീക്ഷകൻ / പ്രതിനിധി,nirīkṣakan / pratinidhi,,b2
observer (official),noun,നിരീക്ഷകൻ / ഉദ്യോഗസ്ഥൻ,nirīkṣakan / udyōgasthan,,b2
obstacle,noun,തടസ്സം / പ്രതിബന്ധം / വിഘ്നം,taṭassaṁ / pratibandhaṁ / vighnaṁ,,b2
obstacle (structural barrier),noun,തടസ്സം / പ്രതിബന്ധം,taṭassaṁ / pratibandhaṁ,,b2
occasionally,adverb,ഇടയ്ക്കിടെ / ചിലപ്പോൾ / വല്ലപ്പോഴും,iṭaykkiṭe / cilappōḷ / vallappōḻuṁ,,b2
occasionally (formally),adverb,ചില സന്ദർഭങ്ങളിൽ / ഇടയ്ക്കിടെ,cila sandarbhaṅṅaḷil / iṭaykkiṭe,,b2
"occupation (job, profession)",noun,തൊഴിൽ / ജോലി / ഉദ്യോഗം / വൃത്തി,toḻil / jōli / udyōgaṁ / vr̥tti,,b2
occupation (taking control of land),noun,കൈയേറ്റം / അധിനിവേശം,kaiyēṟṟaṁ / adhinivēśaṁ,,b2
"offence (insult, hurt feeling)",noun,മനോവിഷമം / അപമാനം,manōviṣamaṁ / apamānaṁ,,b2
offence (legal act),noun,കുറ്റം / കുറ്റകൃത്യം / നിയമലംഘനം,kuṟṟaṁ / kuṟṟakr̥tyaṁ / niyamalaṁghanaṁ,,b2
"offender (legal, criminal)",noun,കുറ്റവാളി / പ്രതി,kuṟṟavāḷi / prati,,b2
offender (one who causes annoyance),noun,ശല്യക്കാരൻ / ഉപദ്രവകാരി,śalyakkāran / upadravakāri,,b2
"offensive (insulting, rude)",adjective,അപമാനകരമായ / അധിക്ഷേപകരമായ,apamānakaramāya / adhikṣēpakaramāya,,b2
"offensive (relating to attack, aggression)",adjective,ആക്രമണോത്സുകമായ / ആക്രമണപരമായ,ākramaṇōtsukamāya / ākramaṇaparamāya,,b2
"offensive (unpleasant odor, disgusting)",adjective,ദുർഗന്ധമുള്ള / അറപ്പുളവാക്കുന്ന,durgandhamuḷḷa / aṟappuḷavākkunna,,b2
official,noun,ഉദ്യോഗസ്ഥൻ / അധികാരി,udyōgasthan / adhikāri,,b2
ongoing,adjective,നടന്നുകൊണ്ടിരിക്കുന്ന / തുടരുന്ന,naṭannukoṇṭirikkunna / tuṭarunna,,b2
ongoing (continuing),adjective,തുടരുന്ന / നടന്നുകൊണ്ടിരിക്കുന്ന,tuṭarunna / naṭannukoṇṭirikkunna,,b2
opening (inauguration event),noun,ഉദ്ഘാടനം / തുടക്കം,udghāṭanaṁ / tuṭakkaṁ,,b2
opening (job vacancy),noun,ഒഴിവ് / അവസരം,oḻiv / avasaraṁ,,b2
openly (frankly),adverb,തുറന്നുപറഞ്ഞ് / നിഷ്കപടമായി,tuṟannupaṟaññ / niṣkapaṭamāyi,,b2
openly (publicly),adverb,പരസ്യമായി / വെളിവിൽ,parasyamāyi / veḷivil,,b2
opera,noun,ഓപ്പറ / ഗാനനാടകം,ōppaṟa / gānanāṭakaṁ,,b2
operator (service company),noun,ഓപ്പറേറ്റർ / നടത്തിപ്പുകാരൻ,ōppaṟēṟṟar / naṭattippukāran,,b2
opponent (in competition),noun,എതിരാളി / പ്രതിയോഗി,etirāḷi / pratiyōgi,,b2
opposed (against a policy or idea),adjective,എതിരായ / വിരുദ്ധമായ,etirāya / viruddhamāya,,b2
opposed (in active conflict or resistance),adjective,എതിർക്കുന്ന / പ്രതിരോധിക്കുന്ന,etirkkunna / pratirōdhikkunna,,b2
opposition (political party or group),noun,പ്രതിപക്ഷം / എതിർപക്ഷം,pratipakṣaṁ / etirpakṣaṁ,,b2
optimistic,adjective,ശുഭാപ്തിവിശ്വാസമുള്ള / നല്ല പ്രതീക്ഷയുള്ള,śubhāptiviśvāsamuḷḷa / nalla pratīkṣayuḷḷa,,b2
orchestra,noun,ഓർക്കസ്ട്ര / വാദ്യവൃന്ദം,ōrkkasṭra / vādyavr̥ndaṁ,,b2
organ (musical instrument),noun,ഓർഗൻ,ōrgan,,b2
"organ (official body, agency)",noun,സ്ഥാപനം / ഘടകം,sthāpanaṁ / ghaṭakaṁ,,b2
"organic (biological, chemical)",adjective,ജൈവ,jaiva,,b2
"organic (food, farming)",adjective,ജൈവ / ഓർഗാനിക്,jaiva / ōrgānik,,b2
origin (ancestry or background),noun,പശ്ചാത്തലം / വംശം / ഉത്ഭവം,paścāttalaṁ / vaṁśaṁ / utbhavaṁ,,b2
origin (source or beginning),noun,ഉത്ഭവം / തുടക്കം / മൂലം,utbhavaṁ / tuṭakkaṁ / mūlaṁ,,b2
otherwise (in other respects),adverb,മറ്റെന്തെങ്കിലും / മറ്റുവിധത്തിൽ,maṟṟenteṅkiluṁ / maṟṟuvidhattil,,b2
"otherwise (or else, if not)",adverb,അല്ലാത്തപക്ഷം / അല്ലെങ്കിൽ,allāttapakṣaṁ / alleṅkil,,b2
"outcome (consequence, effect)",noun,ഫലം / പരിണിതഫലം / അന്തിമഫലം,phalaṁ / pariṇitaphalaṁ / antimaphalaṁ,,b2
"outer (external, formal)",adjective,പുറമെയുള്ള / ബാഹ്യമായ,puṟameyuḷḷa / bāhyamāya,,b2
outfit (organization),noun,സ്ഥാപനം / സംഘടന,sthāpanaṁ / saṁghaṭana,,b2
outline (shape),noun,രൂപരേഖ / ബാഹ്യരൂപം,rūparēkha / bāhyarūpaṁ,,b2
outline (summary),noun,ചുരുക്കം / സംഗ്രഹം / രൂപരേഖ,curukkaṁ / saṁgrahaṁ / rūparēkha,,b2
"output (data, technical result)",noun,ഔട്ട്പുട്ട് / ഫലം / വിവരങ്ങൾ,auṭṭpuṭṭ / phalaṁ / vivaraṅṅaḷ,,b2
"output (production amount, yield)",noun,ഉത്പാദനം / വിളവ്,utpādanaṁ / viḷav,,b2
outstanding (excellent),adjective,മികച്ച / അസാധാരണമായ / ശ്രേഷ്ഠമായ,mikacca / asādhāraṇamāya / śrēṣṭhamāya,,b2
outstanding (unpaid),adjective,നൽകാനുള്ള / കൊടുക്കാനുള്ള / ബാക്കിയുള്ള,nalkānuḷḷa / koṭukkānuḷḷa / bākkiyuḷḷa,,b2
overall,adverb,മൊത്തത്തിൽ / പൊതുവായി,mottattil / potuvāyi,,b2
overnight (during the night),adverb,രാത്രിയിൽ / രാത്രി മുഴുവൻ,rātriyil / rātri muḻuvan,,b2
"overnight (suddenly, quickly)",adverb,പെട്ടെന്ന് / ഒറ്റ രാത്രികൊണ്ട്,peṭṭenn / oṟṟa rātrikoṇṭ,,b2
overseas (adjectival: relating to foreign countries),adjective,വിദേശ / കടൽ കടന്നുള്ള,vidēśa / kaṭal kaṭannuḷḷa,,b2
overseas (adjective),adverb,വിദേശത്തുള്ള / വിദേശത്തുനിന്നുള്ള,vidēśattuḷḷa / vidēśattuninnuḷḷa,,b2
overseas (adverbial: abroad),adjective,വിദേശത്ത് / കടൽ കടന്ന്,vidēśatt / kaṭal kaṭann,,b2
ownership,noun,ഉടമസ്ഥാവകാശം / ഉടമസ്ഥത,uṭamasthāvakāśaṁ / uṭamasthata,,b2
oxygen (as 'life-air'),noun,പ്രാണവായു,prāṇavāyu,,b2
oxygen (common loanword),noun,ഓക്സിജൻ,ōksijan,,b2
pace (single step or stride),noun,ചുവട് / അടി,cuvaṭ / aṭi,,b2
pace (speed or rate),noun,വേഗത / വേഗം / നിരക്ക് / ഗതി,vēgata / vēgaṁ / nirakk / gati,,b2
packet (data unit),noun,പാക്കറ്റ്,pākkaṟṟ,,b2
palm (of the hand),noun,കൈപ്പത്തി / ഹസ്തതലം,kaippatti / hastatalaṁ,,b2
palm (tree),noun,പന,pana,,b2
pan (shallow basin),noun,ചട്ടി / പാത്രം,caṭṭi / pātraṁ,,b2
"panel (flat section, surface)",noun,പാനൽ / പലക / പ്രതലം,pānal / palaka / pratalaṁ,,b2
panel (group of experts),noun,പാനൽ / വിദഗ്ദ്ധസമിതി / സമിതി,pānal / vidagddhasamiti / samiti,,b2
parade,noun,ഘോഷയാത്ര / പരേഡ്,ghōṣayātra / parēḍ,,b2
parallel (conceptual),adjective,സമാന്തരമായ / തുല്യമായ / സദൃശമായ,samāntaramāya / tulyamāya / sadr̥śamāya,,b2
parallel (geometric),adjective,സമാന്തരമായ,samāntaramāya,,b2
parallel (similarity or analogy),noun,സമാന്തരം / സാമ്യം / താരതമ്യം,samāntaraṁ / sāmyaṁ / tāratamyaṁ,,b2
parliament,noun,പാർലമെന്റ് / നിയമസഭ,pārlamenṟ / niyamasabha,,b2
part-time,adjective,പാർട്ട് ടൈം / ഭാഗികമായ,pārṭṭ ṭaiṁ / bhāgikamāya,,b2
participant,noun,പങ്കാളി / ഭാഗഭാക്ക് / പങ്കെടുക്കുന്നയാൾ,paṅkāḷi / bhāgabhākk / paṅkeṭukkunnayāḷ,,b2
"participation (joint involvement, partnership)",noun,പങ്കാളിത്തം / ഭാഗഭാഗിത്വം / പങ്കുചേരൽ,paṅkāḷittaṁ / bhāgabhāgitvaṁ / paṅkucēral,,b2
partly (fractionally),adverb,ഭാഗികമായി,bhāgikamāyi,,b2
partly (to some extent),adverb,ഒരു പരിധി വരെ / ഒരുവിധം / ഭാഗികമായി,oru paridhi vare / oruvidhaṁ / bhāgikamāyi,,b2
partnership (collaboration or alliance),noun,പങ്കാളിത്തം / സഹകരണം / കൂട്ടുകെട്ട്,paṅkāḷittaṁ / sahakaraṇaṁ / kūṭṭukeṭṭ,,b2
partnership (legal or business arrangement),noun,പങ്കാളിത്തം / കൂട്ടുകച്ചവടം,paṅkāḷittaṁ / kūṭṭukaccavaṭaṁ,,b2
passage (act of travelling),noun,യാത്ര / കടന്നുപോകൽ / സഞ്ചാരം,yātra / kaṭannupōkal / sañcāraṁ,,b2
passage (corridor),noun,ഇടനാഴി / വഴി / പാത,iṭanāḻi / vaḻi / pāta,,b2
passage (text excerpt),noun,ഭാഗം / ശകലം / ഉദ്ധരണി,bhāgaṁ / śakalaṁ / uddharaṇi,,b2
"passionate (enthusiastic, zealous)",adjective,ആവേശഭരിതമായ / തീവ്രമായ / അഭിനിവേശമുള്ള,āvēśabharitamāya / tīvramāya / abhinivēśamuḷḷa,,b2
"passionate (intimate, intense)",adjective,തീവ്രമായ / വൈകാരികമായ / ആഴത്തിലുള്ള,tīvramāya / vaikārikamāya / āḻattiluḷḷa,,b2
"passionate (romantic, intimate)",adjective,പ്രണയാർദ്രമായ / തീവ്രമായ / വൈകാരികമായ,praṇayārdramāya / tīvramāya / vaikārikamāya,,b2
password (informal),noun,പാസ്‌വേഡ് / രഹസ്യവാക്ക്,pāsvēḍ / rahasyavākk,,b2
password (official),noun,രഹസ്യവാക്ക് / പാസ്‌വേഡ്,rahasyavākk / pāsvēḍ,,b2
"patience (self-control, composure)",noun,ക്ഷമ / സഹനം / ക്ഷാന്തി,kṣama / sahanaṁ / kṣānti,,b2
pause,noun,ഇടവേള / പോസ് / താൽക്കാലിക വിരാമം,iṭavēḷa / pōs / tālkkālika virāmaṁ,,b2
"peer (equal, contemporary)",noun,സമൻ / തുല്യൻ / സമപ്രായക്കാരൻ,saman / tulyan / samaprāyakkāran,,b2
peer (nobleman),noun,പ്രഭു / കുലീനൻ,prabhu / kulīnan,,b2
"penalty (fine, late fee)",noun,പിഴ / അധിക ഫീസ് / ദണ്ഡം,piḻa / adhika phīs / daṇḍaṁ,,b2
pension,noun,പെൻഷൻ / വാർദ്ധക്യകാല വേതനം,penṣan / vārddhakyakāla vētanaṁ,,b2
"perception (public image, viewpoint)",noun,അഭിപ്രായം / കാഴ്ചപ്പാട് / പൊതുബോധം,abhiprāyaṁ / kāḻcappāṭ / potubōdhaṁ,,b2
"perception (sensory, cognitive awareness)",noun,അവബോധം / ഗ്രഹണം / ബോധം,avabōdhaṁ / grahaṇaṁ / bōdhaṁ,,b2
"permanent (official, fixed status)",adjective,സ്ഥിരം / സ്ഥിരമായ / സ്ഥായിയായ,sthiraṁ / sthiramāya / sthāyiyāya,,b2
permanently (fixed or official status),adverb,സ്ഥിരമായി / സ്ഥായിയായി,sthiramāyi / sthāyiyāyi,,b2
permit,noun,അനുമതി / ലൈസൻസ് / അനുമതിപത്രം,anumati / laisans / anumatipatraṁ,,b2
perspective (drawing technique),noun,ദൂരദൃശ്യം / പെർസ്പെക്റ്റീവ്,dūradr̥śyaṁ / perspekṟṟīv,,b2
perspective (sense of proportion),noun,കാഴ്ചപ്പാട് / അനുപാതിക ബോധം,kāḻcappāṭ / anupātika bōdhaṁ,,b2
perspective (visual technique),noun,ദൃശ്യാനുപാതം / പെർസ്പെക്റ്റീവ്,dr̥śyānupātaṁ / perspekṟṟīv,,b2
phase (cyclical state),noun,ഘട്ടം / അവസ്ഥ,ghaṭṭaṁ / avastha,,b2
"phase (cyclical state, general)",noun,ഘട്ടം / അവസ്ഥ,ghaṭṭaṁ / avastha,,b2
"phase (cyclical, moon state)",noun,കലാ / ചന്ദ്രക്കല / ഘട്ടം,kalā / candrakkala / ghaṭṭaṁ,,b2
