english_word,word_class,kannada_translation,transliteration,verb_transitivity,level
"frequency (technical, physics)",noun,ಆವೃತ್ತಿ,āvr̥tti,,a2
fuel (figurative),noun,ಇಂಧನ / ಉರುವಲು,iṁdhana / uruvalu,,a2
full-time,adverb,ಪೂರ್ಣಾವಧಿಗೆ,pūrṇāvadhige,,a2
fully,adverb,ಸಂಪೂರ್ಣವಾಗಿ / ಪೂರ್ತಿಯಾಗಿ,saṁpūrṇavāgi / pūrtiyāgi,,a2
fund,noun,ನಿಧಿ / ಹಣಕಾಸು / ಬಂಡವಾಳ,nidhi / haṇakāsu / baṁḍavāḷa,,a2
fundamental,adjective,ಮೂಲಭೂತ / ಆಧಾರಭೂತ / ಪ್ರಾಥಮಿಕ,mūlabhūta / ādhārabhūta / prāthamika,,a2
fundamentally,adverb,ಮೂಲತಃ / ಮೂಲಭೂತವಾಗಿ / ಪ್ರಮುಖವಾಗಿ,mūlataḥ / mūlabhūtavāgi / pramukhavāgi,,a2
funding,noun,ಹಣಕಾಸು / ಆರ್ಥಿಕ ನೆರವು / ನಿಧಿ ಒದಗಿಸುವಿಕೆ,haṇakāsu / ārthika neravu / nidhi odagisuvike,,a2
furious (extremely angry),adjective,ತುಂಬಾ ಕೋಪಗೊಂಡ / ರೋಷಭರಿತ / ಕ್ರುದ್ಧ / ಉಗ್ರ,tuṁbā kōpagoṁḍa / rōṣabharita / kruddha / ugra,,a2
"furious (intense, violent, rapid)",adjective,ತೀವ್ರವಾದ / ಭರದಿಂದ ಕೂಡಿದ / ವೇಗವಾದ / ಉಗ್ರ,tīvravāda / bharadiṁda kūḍida / vēgavāda / ugra,,a2
future opportunities (plural),noun,ಭವಿಷ್ಯದ ಅವಕಾಶಗಳು,bhaviṣyada avakāśagaḷu,,a2
gain (advantage or increase),noun,ಹೆಚ್ಚಳ / ಪ್ರಗತಿ / ಅನುಕೂಲ / ವೃದ್ಧಿ,heccaḷa / pragati / anukūla / vr̥ddhi,,a2
gain (profit),noun,ಲಾಭ / ಗಳಿಕೆ / ಆದಾಯ,lābha / gaḷike / ādāya,,a2
"gaming (gambling, wager)",noun,ಜೂಜು / ಪಣ / ಸವಾಲು,jūju / paṇa / savālu,,a2
"gaming (video games, esports)",noun,ಗೇಮಿಂಗ್ / ವೀಡಿಯೋ ಆಟ / ಆಟವಾಡುವುದು,gēmiṁg / vīḍiyō āṭa / āṭavāḍuvudu,,a2
gang (criminal organization),noun,ಗ್ಯಾಂಗ್ / ಜುಲುಮೆಯ ಗುಂಪು / ಪಾತಕಿಗಳ ಗುಂಪು,gyāṁg / julumeya guṁpu / pātakigaḷa guṁpu,,a2
gang (group of friends),noun,ಗೆಳೆಯರ ಗುಂಪು / ಬಳಗ / ಮಿತ್ರರ ಗುಂಪು,geḷeyara guṁpu / baḷaga / mitrara guṁpu,,a2
"gay (cheerful, lighthearted)",adjective,ಸಂತೋಷದ / ಖುಷಿಯಾದ / ಹರ್ಷಚಿತ್ತದ / ಉಲ್ಲಾಸದ,saṁtōṣada / khuṣiyāda / harṣacittada / ullāsada,,a2
gay (referring to sexual orientation),adjective,ಸಮಲಿಂಗಿ / ಸಮಲಿಂಗಕಾಮಿ / ಗೇ,samaliṁgi / samaliṁgakāmi / gē,,a2
gender (grammatical classification),noun,ಲಿಂಗ / ಜಾತಿ,liṁga / jāti,,a2
gene,noun,ಜೀನ್,jīn,,a2
genetic,adjective,ಅನುವಂಶಿಕ,anuvaṁśika,,a2
genius,noun,ಪ್ರತಿಭಾವಂತ / ಮೇಧಾವಿ / ಪ್ರತಿಭೆ,pratibhāvaṁta / mēdhāvi / pratibhe,,a2
genius (person),noun,ಮೇಧಾವಿ / ಪ್ರತಿಭಾವಂತ,mēdhāvi / pratibhāvaṁta,,a2
genius (talent),noun,ಪ್ರತಿಭೆ / ಮೇಧಾಶಕ್ತಿ,pratibhe / mēdhāśakti,,a2
genre,noun,ಪ್ರಕಾರ / ವಿಧ,prakāra / vidha,,a2
genuine (authentic),adjective,ನಿಜವಾದ / ಅಸಲಿ / ಪ್ರಾಮಾಣಿಕ,nijavāda / asali / prāmāṇika,,a2
genuine (sincere),adjective,ಪ್ರಾಮಾಣಿಕ / ನಿಷ್ಕಪಟ / ಸತ್ಯವಾದ,prāmāṇika / niṣkapaṭa / satyavāda,,a2
genuinely (sincerely),adverb,ಪ್ರಾಮಾಣಿಕವಾಗಿ / ನಿಷ್ಕಪಟವಾಗಿ,prāmāṇikavāgi / niṣkapaṭavāgi,,a2
"genuinely (truly, actually)",adverb,ನಿಜವಾಗಿಯೂ / ವಾಸ್ತವವಾಗಿ,nijavāgiyū / vāstavavāgi,,a2
gesture (movement),noun,ಸನ್ನೆ / ಭಂಗಿ,sanne / bhaṁgi,,a2
gesture (symbolic act of goodwill),noun,ಸದ್ಭಾವದ ಕೆಲಸ / ಸೌಹಾರ್ದದ ನಡೆ,sadbhāvada kelasa / sauhārdada naḍe,,a2
gesture (symbolic act),noun,ಸೂಚಕ ಕ್ರಿಯೆ / ಸಂಕೇತ,sūcaka kriye / saṁkēta,,a2
giant (leading company or influential person),noun,ದಿಗ್ಗಜ / ಪ್ರಮುಖ,diggaja / pramukha,,a2
gig (musical performance),noun,ಸಂಗೀತ ಪ್ರದರ್ಶನ / ಗಿಗ್,saṁgīta pradarśana / gig,,a2
gig (temporary work assignment),noun,ತಾತ್ಕಾಲಿಕ ಕೆಲಸ / ಗಿಗ್,tātkālika kelasa / gig,,a2
globalization,noun,ಜಾಗತೀಕರಣ,jāgatīkaraṇa,,a2
globe (spherical map model),noun,ಭೂಗೋಳ,bhūgōḷa,,a2
"globe (the planet, the world)",noun,ಜಗತ್ತು / ಲೋಕ / ವಿಶ್ವ,jagattu / lōka / viśva,,a2
glorious (delightful),adjective,ಆನಂದಮಯವಾದ / ಸಂತೋಷಕರವಾದ / ಸುಖಕರವಾದ,ānaṁdamayavāda / saṁtōṣakaravāda / sukhakaravāda,,a2
glorious (magnificent),adjective,ಭವ್ಯವಾದ / ವೈಭವೋಪೇತವಾದ / ಮಹಿಮಾನ್ವಿತವಾದ,bhavyavāda / vaibhavōpētavāda / mahimānvitavāda,,a2
"golden (opportune, excellent)",adjective,ಸುವರ್ಣ / ಉತ್ತಮವಾದ,suvarṇa / uttamavāda,,a2
goodness (exclamation),noun,ದೇವರೇ / ಅಬ್ಬಾ / ಅಯ್ಯೋ,dēvarē / abbā / ayyō,,a2
goodness (nutritional or intrinsic value),noun,ಸತ್ವ / ಪೌಷ್ಟಿಕಾಂಶ / ಗುಣ,satva / pauṣṭikāṁśa / guṇa,,a2
gorgeous (extremely beautiful),adjective,ಅತಿ ಸುಂದರವಾದ / ಅತ್ಯಂತ ಸುಂದರವಾದ / ಮನಮೋಹಕವಾದ,ati suṁdaravāda / atyaṁta suṁdaravāda / manamōhakavāda,,a2
"gorgeous (splendid, wonderful)",adjective,ಅದ್ಭುತವಾದ / ಭವ್ಯವಾದ / ವೈಭವೋಪೇತವಾದ,adbhutavāda / bhavyavāda / vaibhavōpētavāda,,a2
governor (mechanical regulator),noun,ನಿಯಂತ್ರಕ,niyaṁtraka,,a2
"governor (political, state head)",noun,ರಾಜ್ಯಪಾಲ,rājyapāla,,a2
"gradual, continuing",adjective,ನಿರಂತರವಾದ / ಕ್ರಮಬದ್ಧವಾದ / ಹಂತಹಂತವಾದ,niraṁtaravāda / kramabaddhavāda / haṁtahaṁtavāda,,a2
gradually,adverb,ಕ್ರಮೇಣ / ನಿಧಾನವಾಗಿ / ಹಂತಹಂತವಾಗಿ,kramēṇa / nidhānavāgi / haṁtahaṁtavāgi,,a2
"grand (extensive, major scale)",adjective,ದೊಡ್ಡ / ಬೃಹತ್ / ಮಹಾ,doḍḍa / br̥hat / mahā,,a2
"grand (magnificent, stately)",adjective,ಭವ್ಯ / ವೈಭವೋಪೇತ / ಗಂಭೀರ,bhavya / vaibhavōpēta / gaṁbhīra,,a2
grant,noun,ಅನುದಾನ / ಧನಸಹಾಯ,anudāna / dhanasahāya,,a2
graphic (vividly explicit or violent),adjective,ತೀಕ್ಷ್ಣವಾದ / ಸ್ಪಷ್ಟವಾದ,tīkṣṇavāda / spaṣṭavāda,,a2
graphics,noun,ಗ್ರಾಫಿಕ್ಸ್ / ಚಿತ್ರಣ,grāphiks / citraṇa,,a2
greatly,adverb,ಬಹಳಷ್ಟು / ಅತ್ಯಂತ,bahaḷaṣṭu / atyaṁta,,a2
greenhouse,noun,ಹಸಿರುಮನೆ,hasirumane,,a2
"grocery (provisions, items)",noun,ಕಿರಾಣಿ ಸಾಮಾನು / ದಿನಸಿ,kirāṇi sāmānu / dinasi,,a2
"grocery (store, shop)",noun,ಕಿರಾಣಿ ಅಂಗಡಿ / ದಿನಸಿ ಅಂಗಡಿ,kirāṇi aṁgaḍi / dinasi aṁgaḍi,,a2
growth (medical mass),noun,ಗಡ್ಡೆ / ಗೆಡ್ಡೆ / ಊತ,gaḍḍe / geḍḍe / ūta,,a2
guarantee (warranty document),noun,ಖಾತರಿ ಪತ್ರ / ಭರವಸೆ ಪತ್ರ,khātari patra / bharavase patra,,a2
guideline,noun,ಮಾರ್ಗಸೂಚಿ,mārgasūci,,a2
"habitat (ecological, technical)",noun,ಆವಾಸಸ್ಥಾನ / ವಾಸಸ್ಥಳ,āvāsasthāna / vāsasthaḷa,,a2
handle (online identity),noun,ಬಳಕೆದಾರ ಹೆಸರು / ಐಡಿ / ಅಡ್ಡಹೆಸರು,baḷakedāra hesaru / aiḍi / aḍḍahesaru,,a2
harbour,noun,ಬಂದರು / ರೇವು,baṁdaru / rēvu,,a2
harm,noun,ಹಾನಿ / ನಷ್ಟ / ಕೇಡು,hāni / naṣṭa / kēḍu,,a2
harmful (dangerous),adjective,ಹಾನಿಕರ / ಅಪಾಯಕಾರಿ,hānikara / apāyakāri,,a2
headquarters (central or main office),noun,ಮುಖ್ಯ ಕಚೇರಿ / ಪ್ರಧಾನ ಕಚೇರಿ / ಕೇಂದ್ರ ಕಚೇರಿ,mukhya kacēri / pradhāna kacēri / kēṁdra kacēri,,a2
healthcare,noun,ಆರೋಗ್ಯ ಸೇವೆ / ಆರೋಗ್ಯ ರಕ್ಷಣೆ,ārōgya sēve / ārōgya rakṣaṇe,,a2
hearing (ability to perceive sound),noun,ಶ್ರವಣ ಶಕ್ತಿ,śravaṇa śakti,,a2
"hearing (formal inquiry, court proceeding)",noun,ವಿಚಾರಣೆ,vicāraṇe,,a2
"heaven (sky, firmament)",noun,ಆಕಾಶ / ಗಗನ / ಬಾನು,ākāśa / gagana / bānu,,a2
heel (of a shoe),noun,ಹಿಮ್ಮಡಿ,himmaḍi,,a2
hell (mythological underworld or abyss),noun,ಪಾತಾಳ / ಅಧೋಲೋಕ,pātāḷa / adhōlōka,,a2
hell (place of punishment),noun,ನರಕ,naraka,,a2
helmet,noun,ಹೆಲ್ಮೆಟ್ / ಶಿರಸ್ತ್ರಾಣ,helmeṭ / śirastrāṇa,,a2
hence (from now),adverb,ಇನ್ನು ಮುಂದೆ / ಇಂದಿನಿಂದ / ಮುಂದಿನಿಂದ,innu muṁde / iṁdiniṁda / muṁdiniṁda,,a2
hence (therefore),adverb,ಆದ್ದರಿಂದ / ಹೀಗಾಗಿ / ಆದುದರಿಂದ,āddariṁda / hīgāgi / ādudariṁda,,a2
herb (culinary),noun,ಸೊಪ್ಪು / ಪಲ್ಲೆ,soppu / palle,,a2
herb (medicinal plant),noun,ಮೂಲಿಕೆ / ಔಷಧೀಯ ಸಸ್ಯ,mūlike / auṣadhīya sasya,,a2
hidden (physically concealed),adjective,ಅಡಗಿದ / ಮರೆಮಾಡಿದ,aḍagida / maremāḍida,,a2
hidden (secret or obscure),adjective,ಗುಪ್ತ / ರಹಸ್ಯ / ಅಗೋಚರ,gupta / rahasya / agōcara,,a2
high (maximum level),noun,ಗರಿಷ್ಠ ಮಟ್ಟ / ಪರಮಾವಧಿ,gariṣṭha maṭṭa / paramāvadhi,,a2
high (state of euphoria),noun,ಅಮಲು / ಮದ,amalu / mada,,a2
highlight (visual element),noun,ಎದ್ದುಕಾಣುವ ಭಾಗ / ಪ್ರಕಾಶಮಾನ ಸ್ಥಳ,eddukāṇuva bhāga / prakāśamāna sthaḷa,,a2
highway,noun,ಹೆದ್ದಾರಿ,heddāri,,a2
"highway (major state, national road)",noun,ಹೆದ್ದಾರಿ / ರಾಷ್ಟ್ರೀಯ ಹೆದ್ದಾರಿ,heddāri / rāṣṭrīya heddāri,,a2
hilarious,adjective,ಅತ್ಯಂತ ತಮಾಷೆಯ / ಬಹಳ ಹಾಸ್ಯದ / ವಿನೋದಮಯ,atyaṁta tamāṣeya / bahaḷa hāsyada / vinōdamaya,,a2
hip,noun,ಸೊಂಟ,soṁṭa,,a2
hire (person recruited),noun,ಹೊಸ ಉದ್ಯೋಗಿ / ನೇಮಕಗೊಂಡ ವ್ಯಕ್ತಿ,hosa udyōgi / nēmakagoṁḍa vyakti,,a2
hire (rental cost or agreement),noun,ಬಾಡಿಗೆ / ಗುತ್ತಿಗೆ,bāḍige / guttige,,a2
hire (rental cost/agreement),noun,ಬಾಡಿಗೆ / ಗುತ್ತಿಗೆ,bāḍige / guttige,,a2
historian (female),noun,ಇತಿಹಾಸಜ್ಞೆ,itihāsajñe,,a2
hold (cargo area),noun,ಸರಕು ಕೋಣೆ,saraku kōṇe,,a2
hold (grip),noun,ಹಿಡಿತ,hiḍita,,a2
hold (influence),noun,ಪ್ರಭಾವ / ಹಿಡಿತ,prabhāva / hiḍita,,a2
hollow (meaningless or vain),adjective,ನಿರರ್ಥಕ / ವ್ಯರ್ಥ / ಶೂನ್ಯ,nirarthaka / vyartha / śūnya,,a2
hollow (meaningless/vain),adjective,ನಿರರ್ಥಕ / ವ್ಯರ್ಥ / ಶೂನ್ಯ,nirarthaka / vyartha / śūnya,,a2
holy,adjective,ಪವಿತ್ರ / ಪುಣ್ಯ / ದೈವಿಕ,pavitra / puṇya / daivika,,a2
homeless,adjective,ನಿರಾಶ್ರಿತ / ಮನೆಯಿಲ್ಲದ,nirāśrita / maneyillada,,a2
honesty,noun,ಪ್ರಾಮಾಣಿಕತೆ / ಸತ್ಯಸಂಧತೆ / ನಿಷ್ಠೆ,prāmāṇikate / satyasaṁdhate / niṣṭhe,,a2
honour,noun,ಗೌರವ / ಮರ್ಯಾದೆ / ಆದರ,gaurava / maryāde / ādara,,a2
hook (boxing punch),noun,ಹುಕ್,huk,,a2
hook (memorable element),noun,ಆಕರ್ಷಕ ಅಂಶ / ಹುಕ್,ākarṣaka aṁśa / huk,,a2
"hook (memorable element, music or advertising)",noun,ಹುಕ್ / ಆಕರ್ಷಕ ಅಂಶ,huk / ākarṣaka aṁśa,,a2
hopefully,adverb,ಆಶಾದಾಯಕವಾಗಿ / ಭರವಸೆಯಿಂದ,āśādāyakavāgi / bharavaseyiṁda,,a2
host (computer network),noun,ಹೋಸ್ಟ್ / ಆತಿಥೇಯ,hōsṭ / ātithēya,,a2
household (pertaining to domestic matters),noun,ಗೃಹ / ಮನೆ / ಕುಟುಂಬ,gr̥ha / mane / kuṭuṁba,,a2
housing (accommodation provision),noun,ವಸತಿ / ವಸತಿ ಸೌಕರ್ಯ,vasati / vasati saukarya,,a2
"housing (casing, enclosure)",noun,ಆವರಣ / ಕವಚ,āvaraṇa / kavaca,,a2
human being,noun,ಮನುಷ್ಯ / ಮಾನವ,manuṣya / mānava,,a2
humorous,adjective,ಹಾಸ್ಯಮಯ / ತಮಾಷೆಯ / ವಿನೋದಮಯ,hāsyamaya / tamāṣeya / vinōdamaya,,a2
humour (mood or temper),noun,ಮನಃಸ್ಥಿತಿ / ಸ್ವಭಾವ / ಮನೋಭಾವ,manaḥsthiti / svabhāva / manōbhāva,,a2
"hunger (strong desire, craving)",noun,ತೀವ್ರ ಬಯಕೆ / ದಾಹ / ಆಸೆ,tīvra bayake / dāha / āse,,a2
hunt (search),noun,ಹುಡುಕಾಟ / ಅನ್ವೇಷಣೆ / ಶೋಧ,huḍukāṭa / anvēṣaṇe / śōdha,,a2
hunt (systematic search),noun,ಶೋಧನೆ / ಅನ್ವೇಷಣೆ / ಸಂಶೋಧನೆ,śōdhane / anvēṣaṇe / saṁśōdhane,,a2
hunting (search for),noun,ಹುಡುಕಾಟ / ಅನ್ವೇಷಣೆ,huḍukāṭa / anvēṣaṇe,,a2
"hurt (injury, wound)",noun,ಗಾಯ / ಪೆಟ್ಟು / ಕ್ಷತ,gāya / peṭṭu / kṣata,,a2
"hurt (pain, distress)",noun,ನೋವು / ವೇದನೆ / ಕಷ್ಟ,nōvu / vēdane / kaṣṭa,,a2
hypothesis,noun,ಊಹೆ / ಕಲ್ಪನೆ / ಅನುಮಾನ,ūhe / kalpane / anumāna,,a2
icon (computer graphic),noun,ಐಕಾನ್ / ಸೂಚಕ ಚಿತ್ರ,aikān / sūcaka citra,,a2
icon (person or symbol of status),noun,ಆದರ್ಶ ವ್ಯಕ್ತಿ / ಪ್ರತೀಕ / ಮಾದರಿ,ādarśa vyakti / pratīka / mādari,,a2
"id (identification document, number)",noun,ಐಡಿ / ಗುರುತು ಚೀಟಿ / ಗುರುತಿನ ಪುರಾವೆ,aiḍi / gurutu cīṭi / gurutina purāve,,a2
ideal,noun,ಆದರ್ಶ / ಗುರಿ / ಮಾದರಿ,ādarśa / guri / mādari,,a2
identical,adjective,ಒಂದೇ ತೆರನಾದ / ಸಮಾನವಾದ / ನಿಖರವಾಗಿ ಒಂದೇ,oṁdē teranāda / samānavāda / nikharavāgi oṁdē,,a2
illusion,noun,ಭ್ರಮೆ / ಮಾಯೆ,bhrame / māye,,a2
illustration (example),noun,ಉದಾಹರಣೆ,udāharaṇe,,a2
illustration (picture),noun,ಚಿತ್ರ,citra,,a2
"imagination (faculty, power)",noun,ಕಲ್ಪನಾಶಕ್ತಿ / ಕಲ್ಪನೆ,kalpanāśakti / kalpane,,a2
immigration,noun,ವಲಸೆ,valase,,a2
immune (exempt from responsibility),adjective,ವಿನಾಯಿತಿ ಪಡೆದ / ಮುಕ್ತ,vināyiti paḍeda / mukta,,a2
impatient,adjective,ತಾಳ್ಮೆ ಇಲ್ಲದ / ಅಸಹನೆ ಇರುವ,tāḷme illada / asahane iruva,,a2
implication (consequence or ramification),noun,ಪರಿಣಾಮ / ಸೂಚ್ಯಾರ್ಥ / ನಿಹಿತಾರ್ಥ,pariṇāma / sūcyārtha / nihitārtha,,a2
implication (involvement in a crime),noun,ಸಹಭಾಗಿತ್ವ / ಒಳಗೊಳ್ಳುವಿಕೆ,sahabhāgitva / oḷagoḷḷuvike,,a2
import (significance),noun,ಮಹತ್ವ / ಪ್ರಾಮುಖ್ಯತೆ / ಅಗತ್ಯ,mahatva / prāmukhyate / agatya,,a2
impressed,adjective,ಪ್ರಭಾವಿತ / ಮೆಚ್ಚಿದ / ಅಚ್ಚರಿಗೊಂಡ,prabhāvita / meccida / accarigoṁḍa,,a2
"in addition (moreover, also)",adverb,ಇದರ ಜೊತೆಗೆ / ಹೆಚ್ಚುವರಿಯಾಗಿ / ಅಲ್ಲದೆ / ಮತ್ತೂ,idara jotege / heccuvariyāgi / allade / mattū,,a2
incentive (financial reward),noun,ಪ್ರೋತ್ಸಾಹ ಧನ / ಪ್ರೋತ್ಸಾಹ / ಪ್ರೇರಣೆ,prōtsāha dhana / prōtsāha / prēraṇe,,a2
incident,noun,ಘಟನೆ / ಸಂಭವ / ಪ್ರಸಂಗ,ghaṭane / saṁbhava / prasaṁga,,a2
income,noun,ಆದಾಯ / ಗಳಿಕೆ / ವರಮಾನ,ādāya / gaḷike / varamāna,,a2
"incorrect (improper, inappropriate)",adjective,ಅನುಚಿತ / ಸೂಕ್ತವಲ್ಲದ / ತಪ್ಪು / ಅಸಮರ್ಪಕ,anucita / sūktavallada / tappu / asamarpaka,,a2
increasingly,adverb,ಹೆಚ್ಚುಹೆಚ್ಚಾಗಿ / ಹೆಚ್ಚೆಚ್ಚು,heccuheccāgi / hecceccu,,a2
independence (self-reliance),noun,ಸ್ವಾವಲಂಬನೆ / ಸ್ವಾತಂತ್ರ್ಯ / ಸ್ವತಂತ್ರತೆ,svāvalaṁbane / svātaṁtrya / svataṁtrate,,a2
index (book listing),noun,ಸೂಚಿ / ವಿಷಯಸೂಚಿ,sūci / viṣayasūci,,a2
index (economic indicator),noun,ಸೂಚ್ಯಂಕ / ಆರ್ಥಿಕ ಸೂಚಕ,sūcyaṁka / ārthika sūcaka,,a2
indication (medical necessity),noun,ಅಗತ್ಯತೆ / ಅನಿವಾರ್ಯತೆ,agatyate / anivāryate,,a2
indication (sign or signal),noun,ಸೂಚನೆ / ಸಂಕೇತ / ಗುರುತು,sūcane / saṁkēta / gurutu,,a2
industrial,adjective,ಕೈಗಾರಿಕಾ,kaigārikā,,a2
inevitable,adjective,ಅನಿವಾರ್ಯ / ತಪ್ಪಿಸಲಾಗದ / ಖಚಿತವಾದ,anivārya / tappisalāgada / khacitavāda,,a2
inevitably,adverb,ಅನಿವಾರ್ಯವಾಗಿ / ಖಂಡಿತವಾಗಿ / ತಪ್ಪದೆ,anivāryavāgi / khaṁḍitavāgi / tappade,,a2
infection,noun,ಸೋಂಕು,sōṁku,,a2
inferiority complex,noun,ಹೀನತಾ ಸಂಕೀರ್ಣ / ಹೀನತೆಯ ಮನೋಭಾವ,hīnatā saṁkīrṇa / hīnateya manōbhāva,,a2
"inflation (physical expansion, swelling)",noun,ಊತ / ಉಬ್ಬುವಿಕೆ / ಹಿಗ್ಗುವಿಕೆ,ūta / ubbuvike / higguvike,,a2
info (casual abbreviation),noun,ಮಾಹಿತಿ,māhiti,,a2
information (formal),noun,ಮಾಹಿತಿ / ವಿವರಗಳು,māhiti / vivaragaḷu,,a2
infrastructure,noun,ಮೂಲಸೌಕರ್ಯ,mūlasaukarya,,a2
ingredient (abstract component),noun,ಅಂಶ / ಘಟಕ / ಭಾಗ,aṁśa / ghaṭaka / bhāga,,a2
inhabitant (native or indigenous),noun,ಮೂಲ ನಿವಾಸಿ / ಆದಿವಾಸಿ,mūla nivāsi / ādivāsi,,a2
initial,adjective,ಆರಂಭಿಕ / ಮೊದಲಿನ / ಪ್ರಾರಂಭದ,āraṁbhika / modalina / prāraṁbhada,,a2
initially (at first),adverb,ಮೊದಲಿಗೆ / ಆರಂಭದಲ್ಲಿ / ಪ್ರಾರಂಭದಲ್ಲಿ,modalige / āraṁbhadalli / prāraṁbhadalli,,a2
initiative (personal drive),noun,ಸ್ವಪ್ರೇರಣೆ / ಮುಂದಾಳತ್ವ,svaprēraṇe / muṁdāḷatva,,a2
initiative (plan or project),noun,ಯೋಜನೆ / ಕಾರ್ಯಕ್ರಮ / ಪ್ರಯತ್ನ,yōjane / kāryakrama / prayatna,,a2
"inner (emotional, spiritual)",adjective,ಆಂತರಿಕ / ಒಳಗಿನ,āṁtarika / oḷagina,,a2
"inner (emotional, spiritual, internal)",adjective,ಆಂತರಿಕ / ಒಳಗಿನ / ಮಾನಸಿಕ,āṁtarika / oḷagina / mānasika,,a2
"innovation (novelty, newness)",noun,ನಾವೀನ್ಯತೆ / ಹೊಸತನ / ಆವಿಷ್ಕಾರ,nāvīnyate / hosatana / āviṣkāra,,a2
innovative,adjective,ನವೀನ / ಹೊಸ / ಸೃಜನಾತ್ಮಕ,navīna / hosa / sr̥janātmaka,,a2
input (contribution or feedback),noun,ಕೊಡುಗೆ / ಸಲಹೆ / ಅಭಿಪ್ರಾಯ,koḍuge / salahe / abhiprāya,,a2
input (contribution),noun,ಕೊಡುಗೆ / ಪಾಲು / ಕಾಣಿಕೆ,koḍuge / pālu / kāṇike,,a2
input (data entry),noun,ಸೇರಿಸಿದ ದತ್ತಾಂಶ / ದತ್ತಾಂಶ ನಮೂದು,sērisida dattāṁśa / dattāṁśa namūdu,,a2
input (feedback),noun,ಪ್ರತಿಕ್ರಿಯೆ / ಸಲಹೆ / ಅಭಿಪ್ರಾಯ,pratikriye / salahe / abhiprāya,,a2
"input (feedback, opinion)",noun,ಅಭಿಪ್ರಾಯ / ಪ್ರತಿಕ್ರಿಯೆ / ಸಲಹೆ,abhiprāya / pratikriye / salahe,,a2
input (suggestion or feedback),noun,ಸಲಹೆ / ಅಭಿಪ್ರಾಯ / ಪ್ರತಿಕ್ರಿಯೆ,salahe / abhiprāya / pratikriye,,a2
inquiry (formal investigation),noun,ತನಿಖೆ / ವಿಚಾರಣೆ / ಶೋಧ,tanikhe / vicāraṇe / śōdha,,a2
"inquiry (question, request for info)",noun,ವಿಚಾರಣೆ / ಪ್ರಶ್ನೆ / ಮಾಹಿತಿ ಕೋರಿಕೆ,vicāraṇe / praśne / māhiti kōrike,,a2
"inquiry (question, request for information)",noun,ವಿಚಾರಣೆ / ಪ್ರಶ್ನೆ / ಮಾಹಿತಿ ಕೋರಿಕೆ,vicāraṇe / praśne / māhiti kōrike,,a2
insight (deep understanding),noun,ಅಂತರ್ದೃಷ್ಟಿ / ಒಳನೋಟ,aṁtardr̥ṣṭi / oḷanōṭa,,a2
"insight (specific finding, data-based)",noun,ಕಂಡು ಹಿಡಿತ / ತಿಳುವಳಿಕೆ,kaṁḍu hiḍita / tiḷuvaḷike,,a2
inspector,noun,ನಿರೀಕ್ಷಕರು / ತನಿಖಾಧಿಕಾರಿ,nirīkṣakaru / tanikhādhikāri,,a2
"installation (artwork, exhibit)",noun,ಕಲಾ ಸ್ಥಾಪನೆ / ಕಲಾಕೃತಿ ಸ್ಥಾಪನೆ,kalā sthāpane / kalākr̥ti sthāpane,,a2
"installation (facility, base)",noun,ಸ್ಥಾಪನೆ / ಅಳವಡಿಕೆ,sthāpane / aḷavaḍike,,a2
instance,noun,ಸಂದರ್ಭ / ಪ್ರಕರಣ,saṁdarbha / prakaraṇa,,a2
instance (example),noun,ಉದಾಹರಣೆ / ದೃಷ್ಟಾಂತ,udāharaṇe / dr̥ṣṭāṁta,,a2
instant (quick preparation),adjective,ತ್ವರಿತ / ತತ್ ಕ್ಷಣದ,tvarita / tat kṣaṇada,,a2
"instantly (immediately, right away)",adverb,ತಕ್ಷಣವೇ / ಕೂಡಲೇ,takṣaṇavē / kūḍalē,,a2
institute,noun,ಸಂಸ್ಥೆ / ಸಂಘ,saṁsthe / saṁgha,,a2
institution (social custom or practice),noun,ಸಾಮಾಜಿಕ ಪದ್ಧತಿ / ಸಂಪ್ರದಾಯ,sāmājika paddhati / saṁpradāya,,a2
"insufficient (in quantity, not enough)",adjective,ಸಾಲದ / ಸಾಕಾಗದ,sālada / sākāgada,,a2
insult (verbal slight),noun,ನಿಂದನೆ / ಅಪಮಾನ / ತಿರಸ್ಕಾರ,niṁdane / apamāna / tiraskāra,,a2
insurance,noun,ವಿಮೆ,vime,,a2
intellectual,adjective,ಬೌದ್ಧಿಕ / ಜ್ಞಾನಸಂಬಂಧಿ,bauddhika / jñānasaṁbaṁdhi,,a2
"intelligence (agency, activity)",noun,ಬೇಹುಗಾರಿಕೆ / ಗುಪ್ತಚರ ಕಾರ್ಯ,bēhugārike / guptacara kārya,,a2
intelligence (secret information),noun,ಗುಪ್ತಚರ ಮಾಹಿತಿ / ರಹಸ್ಯ ಮಾಹಿತಿ,guptacara māhiti / rahasya māhiti,,a2
"intended (fiancé, fiancée)",adjective,ನಿಶ್ಚಿತಾರ್ಥದವರು / ಮದುವೆಯಾಗಲಿರುವವರು,niścitārthadavaru / maduveyāgaliruvavaru,,a2
"intended (future spouse, specific)",adjective,ಭಾವೀ ಪತಿ / ಪತ್ನಿ,bhāvī pati / patni,,a2
"intended (goal, purpose)",adjective,ಉದ್ದೇಶಿತ / ನಿರೀಕ್ಷಿತ,uddēśita / nirīkṣita,,a2
