english_word,verb_transitivity,word_class,level,kannada_translation,transliteration
to intensify (to become stronger),intransitive,verb,c1,ತೀವ್ರಗೊಳ್ಳು,tīvragoḷḷu
to intensify (to make stronger),transitive,verb,c1,ತೀವ್ರಗೊಳಿಸು,tīvragoḷisu
intensity (emotional depth),N/A,noun,c1,ತೀವ್ರತೆ,tīvrate
intensity (deep focus or feeling),N/A,noun,c1,ಗಾಢತೆ,gāḍhate
intensive (concentrated),N/A,adjective,c1,ತೀವ್ರವಾದ / ಸಾಂದ್ರೀಕರಿಸಿದ,tīvravāda / sāṁdrīkarisida
"intensive (thorough, rigorous)",N/A,adjective,c1,ತೀವ್ರವಾದ / ಸವಿವರವಾದ,tīvravāda / savivaravāda
intent (criminal purpose),N/A,noun,c1,ದುರುದ್ದೇಶ / ಅಪರಾಧದ ಉದ್ದೇಶ,duruddēśa / aparādhada uddēśa
intention (firm resolve),N/A,noun,b1,ಉದ್ದೇಶ / ನಿರ್ಧಾರ,uddēśa / nirdhāra
to interact (socially or verbally),intransitive,verb,b2,ಸಂವಾದಿಸು / ವ್ಯವಹರಿಸು,saṁvādisu / vyavaharisu
to interact (physically or systemically),intransitive,verb,b2,ಪ್ರತಿಕ್ರಿಯಿಸು,pratikriyisu
to interact (mutually influence),intransitive,verb,b2,ಪರಸ್ಪರ ಪ್ರಭಾವ ಬೀರು,paraspara prabhāva bīru
interaction (social communication),N/A,noun,b2,ಸಂವಾದ / ಪರಸ್ಪರ ಮಾತುಕತೆ,saṁvāda / paraspara mātukate
"interaction (mutual influence, technical)",N/A,noun,b2,ಪರಸ್ಪರ ಕ್ರಿಯೆ,paraspara kriye
interactive (digital systems),N/A,adjective,c1,ಸಂವಾದಾತ್ಮಕ,saṁvādātmaka
"interactive (social, participatory)",N/A,adjective,c1,ಸಂವಾದಾತ್ಮಕ / ಭಾಗವಹಿಸುವ,saṁvādātmaka / bhāgavahisuva
interest (curiosity),N/A,noun,a1,ಆಸಕ್ತಿ,āsakti
"interest (finance, banking)",N/A,noun,a1,ಬಡ್ಡಿ,baḍḍi
to interest,transitive,verb,a1,ಆಸಕ್ತಿ ಮೂಡಿಸು,āsakti mūḍisu
"interested (curious, engaged)",N/A,adjective,a1,ಆಸಕ್ತ / ಆಸಕ್ತಿಯುಳ್ಳ,āsakta / āsaktiyuḷḷa
"interested (vested interest, involved party)",N/A,adjective,b1,ಸಂಬಂಧಪಟ್ಟ,saṁbaṁdhapaṭṭa
interested (having a stake),N/A,adjective,b1,ಪಾಲುದಾರಿಕೆ ಇರುವ,pāludārike iruva
interesting,N/A,adjective,a1,ಆಸಕ್ತಿದಾಯಕ,āsaktidāyaka
interface,N/A,noun,c1,ಅಂತರ್ಮುಖ,aṁtarmukha
to interfere (to meddle or intervene unwelcome),intransitive,verb,c1,ಹಸ್ತಕ್ಷೇಪ ಮಾಡು,hastakṣēpa māḍu
to interfere (to obstruct or hinder a process),transitive,verb,c1,ಅಡ್ಡಿಪಡಿಸು,aḍḍipaḍisu
"interference (signal, waves)",N/A,noun,c1,ವ್ಯತಿಕರಣ,vyatikaraṇa
interim,N/A,adjective,c1,ಮಧ್ಯಂತರ / ಹಂಗಾಮಿ,madhyaṁtara / haṁgāmi
interior (remote location),N/A,adjective,c1,ಒಳನಾಡಿನ,oḷanāḍina
interior (home affairs),N/A,adjective,c1,ಆಂತರಿಕ,āṁtarika
interior (remote region),N/A,noun,c1,ಒಳನಾಡು,oḷanāḍu
intermediate (acting as a medium or link),N/A,adjective,c1,ಮಧ್ಯವರ್ತಿ,madhyavarti
internal,N/A,adjective,b2,ಆಂತರಿಕ,āṁtarika
international,N/A,adjective,a2,ಅಂತರರಾಷ್ಟ್ರೀಯ,aṁtararāṣṭrīya
internet,N/A,noun,a1,ಇಂಟರ್ನೆಟ್ / ಅಂತರ್ಜಾಲ,iṁṭarneṭ / aṁtarjāla
to interpret (explain meaning),transitive,verb,b2,ಅರ್ಥೈಸು,arthaisu
to interpret (translate orally),transitive,verb,b2,ಭಾಷಾಂತರಿಸು,bhāṣāṁtarisu
legal,N/A,adjective,b1,ಕಾನೂನುಬದ್ಧ,kānūnubaddha
legend (story),N/A,noun,b2,ದಂತಕಥೆ,daṁtakathe
legend (famous person),N/A,noun,b2,ದಿಗ್ಗಜ,diggaja
legend (map key),N/A,noun,b2,ಸೂಚಿ,sūci
legendary (relating to a myth or legend),N/A,adjective,c1,ಪೌರಾಣಿಕ / ದಂತಕಥೆಯ,paurāṇika / daṁtakatheya
legendary (extremely famous or renowned),N/A,adjective,c1,ಪ್ರಖ್ಯಾತ / ಅದ್ಭುತ,prakhyāta / adbhuta
legislation (the process of lawmaking),N/A,noun,c1,ಶಾಸನ ರಚನೆ,śāsana racane
legislation (the body of laws enacted),N/A,noun,c1,ಶಾಸನ / ಕಾಯಿದೆಗಳು,śāsana / kāyidegaḷu
legislative,N/A,adjective,c1,ಶಾಸಕಾಂಗದ,śāsakāṁgada
legislature,N/A,noun,c1,ಶಾಸಕಾಂಗ,śāsakāṁga
"legitimate (lawful, conforming to rules)",N/A,adjective,c1,ಕಾನೂನುಬದ್ಧ / ನ್ಯಾಯಸಮ್ಮತ,kānūnubaddha / nyāyasammata
"legitimate (justifiable, reasonable)",N/A,adjective,c1,ಸಮರ್ಥನೀಯ / ಯುಕ್ತ,samarthanīya / yukta
leisure (free time),N/A,noun,b1,ಬಿಡುವು / ವಿರಾಮದ ಸಮಯ,biḍuvu / virāmada samaya
"leisure (comfort, ease)",N/A,noun,b1,ನಿರಾಳತೆ / ಆರಾಮ,nirāḷate / ārāma
lemon,N/A,noun,a2,ನಿಂಬೆಹಣ್ಣು,niṁbehaṇṇu
"to lend (money, as a loan)",transitive,verb,a2,ಸಾಲ ಕೊಡು,sāla koḍu
to lend (help or support),transitive,verb,a2,ಸಹಾಯ ಮಾಡು,sahāya māḍu
length (duration),N/A,noun,b1,ಅವಧಿ,avadhi
lengthy,N/A,adjective,c1,ದೀರ್ಘ,dīrgha
lens (contact lens),N/A,noun,b2,ಮಸೂರ,masūra
contact lens,N/A,noun,b2,ಕಾಂಟ್ಯಾಕ್ಟ್ ಲೆನ್ಸ್,kāṁṭyākṭ lens
lesbian,N/A,adjective,c1,ಲೆಸ್ಬಿಯನ್,lesbiyan
less,N/A,adverb,a2,ಕಡಿಮೆ,kaḍime
less,N/A,determiner,a2,ಕಡಿಮೆ,kaḍime
less,N/A,pronoun,a2,ಕಡಿಮೆ,kaḍime
lesser,N/A,adjective,c1,ಕಿರಿದಾದ,kiridāda
lesson (instructional class period),N/A,noun,a1,ಪಾಠ,pāṭha
lesson (moral or learning experience),N/A,noun,a1,ಪಾಠ,pāṭha
"to let (to permit, allow)",transitive,verb,a1,ಬಿಡು,biḍu
to let (to rent property out),transitive,verb,a2,ಬಾಡಿಗೆಗೆ ಕೊಡು,bāḍigege koḍu
"lethal (extremely effective, destructive)",N/A,adjective,c1,ಮಾರಕ,māraka
lethal (highly impactful),N/A,adjective,c1,ಅತ್ಯಂತ ಪರಿಣಾಮಕಾರಿ,atyaṁta pariṇāmakāri
"letter (communication, mail)",N/A,noun,a1,ಪತ್ರ,patra
letter (alphabetic character),N/A,noun,a1,ಅಕ್ಷರ,akṣara
level (equal in rank or status),N/A,adjective,b1,ಸಮ,sama
level,N/A,noun,a2,ಮಟ್ಟ,maṭṭa
"to level (a surface, ground)",transitive,verb,b2,ಮಟ್ಟ ಮಾಡು,maṭṭa māḍu
"to level (an accusation, charge)",transitive,verb,b2,ಹೊರಿಸು,horisu
"to level (a building, city, destroy)",transitive,verb,b2,ನೆಲಸಮ ಮಾಡು,nelasama māḍu
liable (responsible for),N/A,adjective,c1,ಹೊಣೆಗಾರ,hoṇegāra
liable (prone to),N/A,adjective,c1,ಒಳಪಡುವ,oḷapaḍuva
liberal,N/A,adjective,c1,ಉದಾರ,udāra
liberal (political),N/A,adjective,c1,ಉದಾರವಾದಿ,udāravādi
liberal (political person),N/A,noun,c1,ಉದಾರವಾದಿ,udāravādi
"liberal (adjective: generous, broad-minded)",N/A,noun,c1,ಉದಾರತೆ,udārate
liberation (spiritual),N/A,noun,c1,ಮೋಕ್ಷ / ಮುಕ್ತಿ,mōkṣa / mukti
liberation (political or general release),N/A,noun,c1,ವಿಮೋಚನೆ,vimōcane
"liberty (permission, familiarity)",N/A,noun,c1,ಸ್ವಾತಂತ್ರ್ಯ,svātaṁtrya
liberty (undue familiarity),N/A,noun,c1,ಸಲುಗೆ,saluge
library (formal institution),N/A,noun,a1,ಗ್ರಂಥಾಲಯ,graṁthālaya
library (casual usage),N/A,noun,a1,ಲೈಬ್ರರಿ,laibrari
licence,N/A,noun,b2,ಪರವಾನಿಗೆ,paravānige
to license,transitive,verb,c1,ಪರವಾನಿಗೆ ನೀಡು,paravānige nīḍu
lie,N/A,noun,b1,ಸುಳ್ಳು,suḷḷu
"to lie (to rest, be horizontal)",intransitive,verb,a1,ಮಲಗು,malagu
to lie (to tell an untruth),intransitive,verb,a1,ಸುಳ್ಳು ಹೇಳು,suḷḷu hēḷu
to lie (tell a falsehood),intransitive,verb,b1,ಸುಳ್ಳು ಹೇಳು,suḷḷu hēḷu
to lie (recline),intransitive,verb,b1,ಮಲಗು,malagu
life (vitality or soul),N/A,noun,a1,ಜೀವ,jīva
"life (existence, experience)",N/A,noun,a1,ಜೀವನ,jīvana
lifelong,N/A,adjective,c1,ಜೀವನಪರ್ಯಂತ,jīvanaparyaṁta
lifestyle,N/A,noun,a2,ಜೀವನಶೈಲಿ,jīvanaśaili
lifetime,N/A,noun,b2,ಜೀವಿತಾವಧಿ,jīvitāvadhi
lift (elevator),N/A,noun,a2,ಲಿಫ್ಟ್,liphṭ
"lift (ride, transportation)",N/A,noun,a2,ಲಿಫ್ಟ್,liphṭ
"to lift (a restriction, ban)",transitive,verb,a2,ತೆಗೆದುಹಾಕು / ರದ್ದುಮಾಡು,tegeduhāku / raddumāḍu
light (weight),N/A,adjective,a1,ಹಗುರ,hagura
"light (color, shade)",N/A,adjective,a1,ತಿಳಿ,tiḷi
"light (fixture, lamp)",N/A,noun,a1,ದೀಪ / ಬಲ್ಬ್,dīpa / balb
"to light (a lamp, a fire)",transitive,verb,a2,ಹಚ್ಚು,haccu
to light (to illuminate),transitive,verb,a2,ಬೆಳಗು,beḷagu
lighting (quality or effect),N/A,noun,b2,ಬೆಳಕು,beḷaku
lighting (fixtures and equipment),N/A,noun,b2,ದೀಪದ ವ್ಯವಸ್ಥೆ / ಜ್ಯೋತಿ ವ್ಯವಸ್ಥೆ,dīpada vyavasthe / jyōti vyavasthe
like,N/A,noun,b1,ರೀತಿ,rīti
to like,transitive,preposition,a1,ಇಷ್ಟಪಡು,iṣṭapaḍu
to like,transitive,verb,a1,ಇಷ್ಟಪಡು,iṣṭapaḍu
likelihood,N/A,noun,c1,ಸಂಭವನೀಯತೆ,saṁbhavanīyate
likely (probably),N/A,adjective,a2,ಸಂಭವನೀಯ,saṁbhavanīya
likewise (the same to you),N/A,adverb,b2,ಹಾಗೆಯೇ / ಅದೇ ರೀತಿ,hāgeyē / adē rīti
limb (body part),N/A,noun,c1,ಅವಯವ / ಕೈಕಾಲು,avayava / kaikālu
limb (tree branch),N/A,noun,c1,ದೊಡ್ಡ ಕೊಂಬೆ,doḍḍa koṁbe
"limit (boundary, edge)",N/A,noun,b1,ಗಡಿ,gaḍi
"limit (maximum allowance, restriction)",N/A,noun,b1,ಮಿತಿ,miti
to limit,transitive,verb,b1,ಮಿತಿಗೊಳಿಸು,mitigoḷisu
limitation (restriction),N/A,noun,b2,ಮಿತಿ,miti
limitation (shortcoming),N/A,noun,b2,ನ್ಯೂನತೆ / ಕೊರತೆ,nyūnate / korate
"limited (narrow scope, capacity)",N/A,adjective,b2,ಸೀಮಿತ,sīmita
line (queue),N/A,noun,a1,ಸಾಲು,sālu
line (drawn mark),N/A,noun,a1,ಗೆರೆ,gere
to line (up),N/A,verb,b2,ಸಾಲುಮಾಡು / ಕ್ರಮವಾಗಿ ನಿಲ್ಲು,sālumāḍu / kramavāgi nillu
"to line (a pocket, coat)",transitive,verb,b2,ಅಸ್ತರಿ ಹಾಕು,astari hāku
line-up (schedule of performers),N/A,noun,c1,ಕಾರ್ಯಕ್ರಮಗಳ ಪಟ್ಟಿ,kāryakramagaḷa paṭṭi
line-up (police identification),N/A,noun,c1,ಗುರುತಿಸುವಿಕೆ ಸಾಲು,gurutisuvike sālu
linear (mathematical),N/A,adjective,c1,ರೇಖೀಯ,rēkhīya
to linger (delaying departure),intransitive,verb,c1,ನಿಧಾನಿಸು,nidhānisu
"to linger (persist, remain)",intransitive,verb,c1,ಉಳಿದಿರು,uḷidiru
link (connection or relationship),N/A,noun,a2,ಸಂಪರ್ಕ,saṁparka
link (hyperlink),N/A,noun,a2,ಕೊಂಡಿ,koṁḍi
to link (to join or connect items),transitive,verb,a2,ಜೋಡಿಸು,jōḍisu
to link (to associate or relate ideas),transitive,verb,a2,ಸಂಬಂಧ ಕಲ್ಪಿಸು,saṁbaṁdha kalpisu
landmark (physical marker),N/A,noun,c1,ಗುರುತು / ಮೈಲಿಗಲ್ಲು,gurutu / mailigallu
"landmark (milestone, significant event)",N/A,noun,c1,ಮೈಲಿಗಲ್ಲು,mailigallu
"landscape (scenery, vista)",N/A,noun,b2,ಭೂ ದೃಶ್ಯ,bhū dr̥śya
"landscape (context, environment)",N/A,noun,b2,ಪರಿಸರ / ಸನ್ನಿವೇಶ,parisara / sannivēśa
lane (traffic division or sports track),N/A,noun,b2,ಲೇನ್ / ಪಥ,lēn / patha
lane (narrow country road or path),N/A,noun,b2,ಸಂದು,saṁdu
language,N/A,noun,a1,ಭಾಷೆ,bhāṣe
lap (of a seated person),N/A,noun,c1,ಮಡಿಲು,maḍilu
lap (circuit of a race),N/A,noun,c1,ಸುತ್ತು,suttu
laptop,N/A,noun,a2,ಲ್ಯಾಪ್ಟಾಪ್,lyāpṭāp
large,N/A,adjective,a1,ದೊಡ್ಡ,doḍḍa
large-scale,N/A,adjective,c1,ದೊಡ್ಡ ಪ್ರಮಾಣದ / ಬೃಹತ್ ಪ್ರಮಾಣದ,doḍḍa pramāṇada / br̥hat pramāṇada
largely,N/A,adverb,b2,ಹೆಚ್ಚಾಗಿ / ಪ್ರಮುಖವಾಗಿ,heccāgi / pramukhavāgi
laser,N/A,noun,c1,ಲೇಸರ್,lēsar
last (most recently),N/A,adverb,a2,ಕೊನೆಯದಾಗಿ,koneyadāgi
last (final),N/A,determiner,a1,ಕೊನೆಯ,koneya
last (previous),N/A,determiner,a1,ಕಳೆದ,kaḷeda
last,N/A,noun,a2,ಕೊನೆ / ಕಡೆ,kone / kaḍe
to last (duration in time),intransitive,verb,a2,ಮುಂದುವರಿ,muṁduvari
"to last (to endure, be sufficient)",intransitive,verb,a2,ಬಾಳು,bāḷu
late (deceased),N/A,adjective,a1,ದಿವಂಗತ,divaṁgata
late,N/A,adverb,a1,ತಡವಾಗಿ,taḍavāgi
"lately (recently, standard, formal use)",N/A,adverb,b2,ಇತ್ತೀಚೆಗೆ,ittīcege
"later (adverbial, shortly)",N/A,adjective,a2,ಆಮೇಲೆ,āmēle
"later (adjective, subsequent)",N/A,adjective,a2,ನಂತರದ,naṁtarada
later (at a subsequent time),N/A,adverb,a1,ನಂತರ / ಆಮೇಲೆ,naṁtara / āmēle
"later (after that, then)",N/A,adverb,a1,ನಂತರದಲ್ಲಿ,naṁtaradalli
latest (most recent),N/A,adjective,b1,ಇತ್ತೀಚಿನ,ittīcina
latest (most fashionable),N/A,adjective,b1,ಹೊಸ,hosa
latest,N/A,noun,b2,ಹೊಸತು,hosatu
latter (the second mentioned),N/A,adjective,c1,ಎರಡನೆಯದು,eraḍaneyadu
latter (near the end),N/A,adjective,c1,ಕೊನೆಯ,koneya
latter,N/A,noun,c1,ಎರಡನೆಯದು,eraḍaneyadu
laugh,N/A,noun,a1,ನಗು,nagu
to make someone laugh,transitive,verb,a1,ನಗಿಸು,nagisu
laughter,N/A,noun,a2,ನಗು,nagu
launch (of a rocket or satellite),N/A,noun,b2,ಉಡಾವಣೆ,uḍāvaṇe
launch (of a product or event),N/A,noun,b2,ಬಿಡುಗಡೆ,biḍugaḍe
"to launch (a product, service)",transitive,verb,b2,ಬಿಡುಗಡೆ ಮಾಡು,biḍugaḍe māḍu
"to launch (a project, venture)",transitive,verb,b2,ಪ್ರಾರಂಭಿಸು,prāraṁbhisu
"to launch (a rocket, vehicle)",transitive,verb,b2,ಉಡಾಯಿಸು,uḍāyisu
law (scientific or natural principle),N/A,noun,a2,ನಿಯಮ,niyama
lawn,N/A,noun,c1,ಹುಲ್ಲುಹಾಸು,hulluhāsu
lawsuit,N/A,noun,c1,ದಾವೆ / ಮೊಕದ್ದಮೆ,dāve / mokaddame
lawyer (official title),N/A,noun,a2,ವಕೀಲ,vakīla
to lay (eggs),transitive,verb,b1,ಇಡು,iḍu
"to lay (a foundation, pipes, carpet)",transitive,verb,b1,ಹಾಕು,hāku
layer (hen),N/A,noun,b1,ಮೊಟ್ಟೆ ಕೋಳಿ,moṭṭe kōḷi
layout (arrangement),N/A,noun,c1,ವಿನ್ಯಾಸ,vinyāsa
layout (design),N/A,noun,c1,ವಿನ್ಯಾಸ,vinyāsa
lazy,N/A,adjective,a2,ಸೋಮಾರಿ / ಆಲಸಿ,sōmāri / ālasi
lead (the metal),N/A,noun,b1,ಸೀಸ,sīsa
lead (advantage),N/A,noun,b1,ಮುನ್ನಡೆ,munnaḍe
lead (leash),N/A,noun,b1,ಕುತ್ತಿಗೆ ಪಟ್ಟಿ,kuttige paṭṭi
to lead (a group or organization),transitive,verb,a2,ಮುನ್ನಡೆಸು / ನೇತೃತ್ವ ವಹಿಸು,munnaḍesu / nētr̥tva vahisu
to lead (to a result or destination),intransitive,verb,a2,ಸಾಗು / ಕೊನೆಗೊಳ್ಳು,sāgu / konegoḷḷu
"leader (political, social movement)",N/A,noun,a2,ನಾಯಕ / ಮುಖಂಡ,nāyaka / mukhaṁḍa
leadership (group of leaders),N/A,noun,b2,ನೇತೃತ್ವ / ನಾಯಕತ್ವ,nētr̥tva / nāyakatva
"leading (chief, foremost)",N/A,adjective,b1,ಪ್ರಮುಖ / ಮುಖ್ಯ,pramukha / mukhya
leading (ahead in position or status),N/A,adjective,b1,ಮುಂಚೂಣಿಯಲ್ಲಿರುವ / ಅಗ್ರಸ್ಥಾನದಲ್ಲಿರುವ,muṁcūṇiyalliruva / agrasthānadalliruva
leaf (sheet of paper),N/A,noun,b1,ಹಾಳೆ,hāḷe
leaflet,N/A,noun,b2,ಕರಪತ್ರ,karapatra
league (sports organization),N/A,noun,b2,ಲೀಗ್,līg
league (level or status),N/A,noun,b2,ಮಟ್ಟ / ಶ್ರೇಣಿ,maṭṭa / śrēṇi
leak (of secret information),N/A,noun,c1,ಸೋರಿಕೆ,sōrike
"to leak (physical fluid, gas)",intransitive,verb,c1,ಸೋರು,sōru
"to leak (information, secrets)",N/A,verb,c1,ಸೋರಿಕೆ ಮಾಡು,sōrike māḍu
"to leak (intransitive, secrets revealed)",intransitive,verb,c1,ಹೊರಬೀಳು,horabīḷu
to lean (against something for support),intransitive,verb,b2,ಆನು,ānu
to lean (to tilt or incline),transitive,verb,b2,ಬಾಗಿಸು,bāgisu
to lean (toward an opinion or preference),intransitive,verb,b2,ಒಲವು ತೋರು,olavu tōru
leap (advancement),N/A,noun,c1,ದಾಪುಗಾಲು,dāpugālu
to leap,intransitive,verb,c1,ನೆಗೆ,nege
to learn,transitive,verb,a1,ಕಲಿ,kali
learning (scholarship),N/A,noun,a2,ಪಾಂಡಿತ್ಯ,pāṁḍitya
learning (general knowledge),N/A,noun,a2,ಜ್ಞಾನ,jñāna
"least (at least, minimum)",N/A,adverb,a2,ಕನಿಷ್ಠ,kaniṣṭha
"least (the smallest amount, degree)",N/A,adverb,a2,ಅತ್ಯಂತ ಕಡಿಮೆ,atyaṁta kaḍime
least (smallest quantity),N/A,determiner,a2,ಅತ್ಯಂತ ಕಡಿಮೆ,atyaṁta kaḍime
at least,N/A,determiner,a2,ಕನಿಷ್ಠಪಕ್ಷ,kaniṣṭhapakṣa
at least,N/A,pronoun,a2,ಕನಿಷ್ಠಪಕ್ಷ,kaniṣṭhapakṣa
leather,N/A,noun,b1,ಚರ್ಮ,carma
leave,N/A,noun,b2,ರಜೆ,raje
to leave (something behind),transitive,verb,a1,ಬಿಡು,biḍu
lecture (academic talk),N/A,noun,a2,ಉಪನ್ಯಾಸ,upanyāsa
lecture (reprimand),N/A,noun,a2,ಉಪದೇಶ,upadēśa
"to lecture (to scold, reprimand)",transitive,verb,a2,ಉಪದೇಶ ಮಾಡು,upadēśa māḍu
left (remaining),N/A,adjective,a1,ಉಳಿದ,uḷida
"to leave (to exit, depart)",intransitive,adverb,a1,ಹೊರಡು,horaḍu
"left (remaining, residual)",N/A,adverb,a1,ಉಳಿದಿರು,uḷidiru
left,N/A,noun,a1,ಎಡ,eḍa
leg (of furniture),N/A,noun,a1,ಕಾಲು,kālu
"legacy (bequest, inheritance)",N/A,noun,c1,ಪಿತ್ರಾರ್ಜಿತ,pitrārjita
legacy (outdated system),N/A,noun,c1,ಪರಂಪರೆಯ ವ್ಯವಸ್ಥೆ,paraṁpareya vyavasthe
interpretation (explanation or analysis),N/A,noun,b2,ವಿವರಣೆ / ಅರ್ಥವಿವರಣೆ,vivaraṇe / arthavivaraṇe
interpretation (artistic rendition or style),N/A,noun,b2,ನಿರೂಪಣೆ / ಪ್ರದರ್ಶನ,nirūpaṇe / pradarśana
to interrupt (conversationally),transitive,verb,b2,ಅಡ್ಡಬಾ,aḍḍabā
to interrupt (to obstruct or cut short abruptly),transitive,verb,b2,ನಿಲ್ಲಿಸು / ತಡೆ,nillisu / taḍe
interval (during a performance),N/A,noun,b2,ಮಧ್ಯಂತರ,madhyaṁtara
interval (period of time),N/A,noun,b2,ಅವಧಿ / ಅಂತರ,avadhi / aṁtara
to intervene (in a conflict or crisis),intransitive,verb,c1,ಮಧ್ಯ ಪ್ರವೇಶಿಸು,madhya pravēśisu
to intervene (to mediate or intercede),intransitive,verb,c1,ಮಧ್ಯಸ್ಥಿಕೆ ವಹಿಸು,madhyasthike vahisu
"intervention (therapeutic measure, strategy)",N/A,noun,c1,ಚಿಕಿತ್ಸಾ ಕ್ರಮ,cikitsā krama
"interview (formal, official meeting)",N/A,noun,a1,ಸಂದರ್ಶನ,saṁdarśana
to interview (conduct),transitive,verb,a1,ಸಂದರ್ಶನ ಮಾಡು,saṁdarśana māḍu
to interview (be interviewed),intransitive,verb,a1,ಸಂದರ್ಶನ ಕೊಡು,saṁdarśana koḍu
intimate (knowledge),N/A,adjective,c1,ಆಳವಾದ / ನಿಕಟ,āḷavāda / nikaṭa
"into (motion, physical entry)",N/A,preposition,a1,ಒಳಗೆ,oḷage
"into (change of state, form)",N/A,preposition,a2,ಆಗಿ,āgi
intriguing,N/A,adjective,c1,ಕುತೂಹಲಕಾರಿಯಾದ / ಆಸಕ್ತಿದಾಯಕ,kutūhalakāriyāda / āsaktidāyaka
"to introduce (a new system, policy, or concept)",transitive,verb,a2,ಜಾರಿಗೆ ತರು,jārige taru
introduction (acquaintance),N/A,noun,a2,ಪರಿಚಯ,paricaya
introduction (preliminary section),N/A,noun,a2,ಪೀಠಿಕೆ,pīṭhike
to invade (militarily),transitive,verb,b2,ಆಕ್ರಮಣ ಮಾಡು,ākramaṇa māḍu
"to invade (privacy, rights)",transitive,verb,b2,ಅತಿಕ್ರಮಿಸು,atikramisu
"invasion (of privacy, rights)",N/A,noun,b2,ಅತಿಕ್ರಮಣ / ಉಲ್ಲಂಘನೆ,atikramaṇa / ullaṁghane
to invent (a story or excuse),transitive,verb,a2,ಕಲ್ಪಿಸು,kalpisu
"invention (fabrication, story)",N/A,noun,a2,ಕಲ್ಪನೆ,kalpane
to invest (money),transitive,verb,b1,ಹೂಡಿಕೆ ಮಾಡು,hūḍike māḍu
to invest (time or effort),transitive,verb,b1,ತೊಡಗಿಸು,toḍagisu
"to investigate (formally, a crime or official matter)",transitive,verb,b1,ತನಿಖೆ ಮಾಡು,tanikhe māḍu
to investigate (to look into or inquire generally),transitive,verb,b1,ವಿಚಾರಿಸು,vicārisu
"investigation (legal, police inquiry)",N/A,noun,b2,ತನಿಖೆ,tanikhe
"investigation (scientific, research)",N/A,noun,b2,ಸಂಶೋಧನೆ,saṁśōdhane
"investigator (legal, official)",N/A,noun,c1,ತನಿಖಾಧಿಕಾರಿ,tanikhādhikāri
investigator (researcher),N/A,noun,c1,ಸಂಶೋಧಕ,saṁśōdhaka
investment,N/A,noun,b2,ಹೂಡಿಕೆ,hūḍike
investor,N/A,noun,b2,ಹೂಡಿಕೆದಾರ,hūḍikedāra
"invisible (abstract, figurative)",N/A,adjective,c1,ಅಗೋಚರ,agōcara
invitation (official document),N/A,noun,a2,ಆಹ್ವಾನ ಪತ್ರಿಕೆ,āhvāna patrike
invitation (general request to join),N/A,noun,a2,ಆಮಂತ್ರಣ,āmaṁtraṇa
"to invite (formally, officially)",transitive,verb,a2,ಆಹ್ವಾನಿಸು,āhvānisu
to invoke (a god or spirit),transitive,verb,c1,ಆವಾಹಿಸು,āvāhisu
to invoke (a law or right),transitive,verb,c1,ಉಲ್ಲೇಖಿಸು,ullēkhisu
"to involve (to require, entail)",transitive,verb,a2,ಒಳಗೊಂಡಿರು,oḷagoṁḍiru
involved (participating),N/A,adjective,b1,ಭಾಗಿಯಾದ,bhāgiyāda
involved (complicated),N/A,adjective,b1,ಸಂಕೀರ್ಣ,saṁkīrṇa
involvement (implication in a serious event),N/A,noun,c1,ಸೇರ್ಪಡೆ,sērpaḍe
iron (metal),N/A,noun,b1,ಕಬ್ಬಿಣ,kabbiṇa
iron (appliance),N/A,noun,b1,ಇಸ್ತ್ರಿ ಪೆಟ್ಟಿಗೆ,istri peṭṭige
to iron,transitive,verb,b1,ಇಸ್ತ್ರಿ ಮಾಡು,istri māḍu
ironic (situational),N/A,adjective,c1,ವಿಪರ್ಯಾಸದ,viparyāsada
"ironic (sarcastic, witty)",N/A,adjective,c1,ವಿಡಂಬನಾತ್ಮಕ,viḍaṁbanātmaka
ironically,N/A,adverb,c1,ವಿಡಂಬನಾತ್ಮಕವಾಗಿ,viḍaṁbanātmakavāgi
irony (situational or paradoxical contrast),N/A,noun,c1,ವಿಪರ್ಯಾಸ,viparyāsa
irony (rhetorical device or sarcastic speech),N/A,noun,c1,ವಿಡಂಬನೆ / ವ್ಯಂಗ್ಯ,viḍaṁbane / vyaṁgya
"irrelevant (to the argument, topic)",N/A,adjective,c1,ಅಪ್ರಸ್ತುತ,aprastuta
"irrelevant (unimportant, trivial)",N/A,adjective,c1,ಮುಖ್ಯವಲ್ಲದ,mukhyavallada
island,N/A,noun,a1,ದ್ವೀಪ,dvīpa
to isolate (quarantine),transitive,verb,b2,ಪ್ರತ್ಯೇಕಿಸು,pratyēkisu
to isolate (a variable or component),transitive,verb,b2,ಬೇರ್ಪಡಿಸು,bērpaḍisu
isolated (remote location),N/A,adjective,b2,ನಿರ್ಜನವಾದ / ದೂರದ,nirjanavāda / dūrada
"isolated (socially, emotionally)",N/A,adjective,b2,ಏಕಾಂಗಿ,ēkāṁgi
"isolation (social, solitude)",N/A,noun,c1,ಏಕಾಂತ / ಒಂಟಿತನ,ēkāṁta / oṁṭitana
"isolation (technical, separation process)",N/A,noun,c1,ಪ್ರತ್ಯೇಕತೆ,pratyēkate
"issue (problem, topic)",N/A,noun,b1,ವಿಷಯ / ಸಮಸ್ಯೆ,viṣaya / samasye
issue (publication edition),N/A,noun,b1,ಸಂಚಿಕೆ,saṁcike
