id,english_word,word_class,kannada_translation,verb_transitivity,level
5143,to multiply (mathematics),verb,ಗುಣಿಸು,transitive,b2
5144,to multiply (to increase rapidly),verb,ಹೆಚ್ಚಾಗು / ವೃದ್ಧಿಸು / ಬೆಳೆ,intransitive,b2
5145,mother (general term),noun,ತಾಯಿ / ಅಮ್ಮಾಜಿ,N/A,a1
5146,mom (US informal),noun,ಅಮ್ಮ / ಅಮ್ಮಾ / ತಾಯಿ,N/A,a1
5147,municipal,adjective,ಪೌರಸಂಸ್ಥೆಯ / ನಗರಸಭೆಯ / ಪುರಸಭೆಯ,N/A,c1
5148,murder,noun,ಕೊಲೆ / ಹತ್ಯೆ / ವಧೆ,N/A,b1
5149,"to murder (formally, commit homicide)",verb,ಕೊಲೆ ಮಾಡು / ಹತ್ಯೆ ಮಾಡು / ವಧೆ ಮಾಡು,transitive,b1
5150,muscle (influence),noun,ಪ್ರಭಾವ / ಶಕ್ತಿ / ಅಧಿಕಾರ / ಬಲ,N/A,b1
5151,museum,noun,ವಸ್ತುಸಂಗ್ರಹಾಲಯ,N/A,a1
5152,music,noun,ಸಂಗೀತ,N/A,a1
5153,musical (related to music),adjective,ಸಂಗೀತದ / ಸಂಗೀತಮಯ,N/A,a2
5154,musical (melodious or talented),adjective,ಸುಮಧುರ / ಸಂಗೀತಮಯ / ಸಂಗೀತ ಪ್ರತಿಭೆಯುಳ್ಳ,N/A,a2
5155,musical (play/show),noun,ಸಂಗೀತ ನಾಟಕ,N/A,b1
5156,musician,noun,ಸಂಗೀತಗಾರ / ಸಂಗೀತ ವಿದ್ವಾಂಸ,N/A,a2
5157,"must (obligation, necessity)",modal verb,ಬೇಕು / ಬೇಕಿದೆ / ಅವಶ್ಯಕ / ಕಡ್ಡಾಯ,N/A,a1
5158,"must (strong probability, deduction)",modal verb,ಇರಬೇಕು / ಆಗಿರಬೇಕು,N/A,a2
5159,mutual,adjective,ಪರಸ್ಪರ / ಅನ್ಯೋನ್ಯ,N/A,c1
5160,my,determiner,ನನ್ನ,N/A,a1
5161,myself (I myself),pronoun,ನಾನೇ,N/A,a2
5162,"myself (by myself, alone)",pronoun,ಒಬ್ಬರೇ / ನಾನೊಬ್ಬನೇ / ನಾನೊಬ್ಬಳೇ / ನನ್ನಿಂದಲೇ,N/A,a2
5163,myself (reflexive),pronoun,ನನ್ನನ್ನು,N/A,a2
5164,mysterious,adjective,ನಿಗೂಢವಾದ / ರಹಸ್ಯಮಯ / ಅಪರಿಚಿತ,N/A,b2
5165,mystery,noun,ರಹಸ್ಯ / ನಿಗೂಢ,N/A,b1
5166,myth (traditional story),noun,ಪುರಾಣ ಕಥೆ / ಐತಿಹ್ಯ,N/A,b2
5167,myth (false belief),noun,ಮಿಥ್ಯೆ / ಸುಳ್ಳು ನಂಬಿಕೆ,N/A,b2
5168,"nail (fingernail, toenail)",noun,ಉಗುರು,N/A,b1
5169,nail (metal fastener),noun,ಮೊಳೆ,N/A,b1
5170,"naked (uncovered, bare)",adjective,ಬರಿ / ಬರಿದಾದ,N/A,b2
5171,naked (unclothed),adjective,ನಗ್ನ / ಬಟ್ಟೆಯಿಲ್ಲದ,N/A,b2
5172,name,noun,ಹೆಸರು,N/A,a1
5173,to name (to identify or specify),verb,ಹೆಸರಿಸು / ಹೆಸರು ಇಡು,transitive,a1
5174,namely,adverb,ಅಂದರೆ / ವಿಶೇಷವಾಗಿ / ನಿರ್ದಿಷ್ಟವಾಗಿ,N/A,c1
5175,narrative (account),noun,ಕಥನ / ನಿರೂಪಣೆ / ಕಥೆ,N/A,b1
5176,"narrative (interpretation, framework)",noun,ನಿರೂಪಣೆ / ವ್ಯಾಖ್ಯಾನ / ದೃಷ್ಟಿಕೋನ,N/A,b2
5177,narrow (limited scope),adjective,ಸಂಕುಚಿತ / ಸೀಮಿತ,N/A,a2
5178,narrow (physical width),adjective,ಕಿರಿದಾದ / ಸಣ್ಣ,N/A,a2
5179,"to narrow (down options, focus)",verb,ಸಂಕುಚಿತ ಮಾಡು / ಸೀಮಿತಗೊಳಿಸು / ಕಿರಿದಾಗಿಸು,transitive,b2
5180,"nasty (mean, spiteful)",adjective,ದುರುಳ / ಕೆಟ್ಟ / ಕ್ರೂರ,N/A,b2
5181,"nasty (unpleasant, disgusting)",adjective,ಅಸಹ್ಯಕರ / ಅಪ್ರಿಯ / ಕೆಟ್ಟ,N/A,b2
5182,"nasty (serious, dangerous - injury, situation)",adjective,ಗಂಭೀರ / ಅಪಾಯಕಾರಿ / ಭಯಾನಕ,N/A,b2
5183,nation,noun,ರಾಷ್ಟ್ರ / ದೇಶ,N/A,b1
5184,national,adjective,ರಾಷ್ಟ್ರೀಯ / ದೇಶೀಯ,N/A,a2
5185,national (citizen),noun,ರಾಷ್ಟ್ರದ ಪ್ರಜೆ / ಪ್ರಜೆ / ದೇಶವಾಸಿ,N/A,b2
5186,nationwide,adjective,ರಾಷ್ಟ್ರವ್ಯಾಪಿ / ದೇಶಾದ್ಯಂತ,N/A,c1
5187,"native (of origin, language)",adjective,ಜನ್ಮದ / ಸ್ವಂತ / ಮೂಲ / ದೇಶೀಯ,N/A,b1
5188,"native (species, plants, indigenous)",adjective,ದೇಶೀಯ / ಸ್ಥಳೀಯ / ಮೂಲ,N/A,b1
5189,native (person),noun,ಮೂಲ ನಿವಾಸಿ / ಸ್ಥಳೀಯ / ದೇಶವಾಸಿ,N/A,b1
5190,natural (pertaining to nature),adjective,ನೈಸರ್ಗಿಕ / ಪ್ರಾಕೃತಿಕ,N/A,a1
5191,natural (innate or easy),adjective,ಸಹಜ / ಸ್ವಾಭಾವಿಕ,N/A,a1
5192,"naturally (of course, as expected)",adverb,ಸಹಜವಾಗಿ / ಖಂಡಿತವಾಗಿಯೂ / ಸ್ವಾಭಾವಿಕವಾಗಿ,N/A,b1
5193,"nature (character, disposition)",noun,ಸ್ವಭಾವ / ಗುಣ / ಪ್ರಕೃತಿ,N/A,a2
5194,naval,adjective,ನೌಕಾ / ಸಮುದ್ರ,N/A,c1
5195,"navigation (digital, website)",noun,ಸಂಚಾರ / ಸಂಚರಣೆ / ಮಾರ್ಗದರ್ಶನ / ನ್ಯಾವಿಗೇಶನ್,N/A,b2
5196,near (physical location),adjective,ಹತ್ತಿರ / ಸಮೀಪ / ಪಕ್ಕ,N/A,a1
5197,near (in time),adjective,ಸಮೀಪ / ಹತ್ತಿರ / ಶೀಘ್ರದಲ್ಲೇ,N/A,a1
5198,"near (to, next to a place)",adverb,ಹತ್ತಿರ / ಪಕ್ಕ / ಸಮೀಪ,N/A,a1
5199,lion,noun,ಸಿಂಹ,N/A,a1
5200,"lip (edge, rim of a container)",noun,ಅಂಚು / ತುದಿ,N/A,b1
5201,liquid (physical state),adjective,ದ್ರವ ರೂಪದ,N/A,b1
5202,liquid (financial),adjective,ನಗದೀಕರಿಸಬಹುದಾದ / ಸುಲಭವಾಗಿ ನಗದಾಗುವ,N/A,b1
5203,liquid,noun,ದ್ರವ / ದ್ರವ ಪದಾರ್ಥ,N/A,b1
5204,list,noun,ಪಟ್ಟಿ / ತಾಳಿಕೆ / ಸೂಚಿ,N/A,a1
5205,to list,verb,ಪಟ್ಟಿ ಮಾಡು / ದಾಖಲಿಸು / ನಮೂದಿಸು,transitive,a1
5206,"to listen (to advice, to heed)",verb,ಕೇಳು / ಆಲಿಸು / ಗಮನಿಸು,transitive,a1
5207,"listener (audience member, formal)",noun,ಕೇಳುಗ / ಶ್ರೋತೃ,N/A,a2
5208,listing (inventory),noun,ದಾಸ್ತಾನು ಪಟ್ಟಿ / ಸರಕು ಪಟ್ಟಿ,N/A,c1
5209,"listing (real estate, stock)",noun,ನಮೂದು / ಪಟ್ಟಿ / ದಾಖಲೆ,N/A,c1
5210,literacy,noun,ಸಾಕ್ಷರತೆ,N/A,c1
5211,literally (word for word),adverb,ಅಕ್ಷರಶಃ / ಪದಶಃ,N/A,b2
5212,literary,adjective,ಸಾಹಿತ್ಯಕ,N/A,b2
5213,"literature (academic writings, research material)",noun,ಸಾಹಿತ್ಯ / ಕೃತಿಗಳು / ಗ್ರಂಥಗಳು,N/A,b2
5214,litre,noun,ಲೀಟರ್,N/A,b2
5215,litter (group of animal young),noun,ಈದಿ,N/A,b2
5216,litter (material for animals),noun,ಪ್ರಾಣಿಗಳ ಹಾಸಿಗೆ,N/A,b2
5217,cat litter,noun,ಬೆಕ್ಕುಗಳ ತ್ಯಾಜ್ಯ ಸಾಮಗ್ರಿ / ಕ್ಯಾಟ್ ಲಿಟರ್,N/A,b2
5218,little (small in size),adjective,ಚಿಕ್ಕ / ಸಣ್ಣ / ಪುಟ್ಟ,N/A,a1
5219,little (young),adjective,ಸಣ್ಣ / ಚಿಕ್ಕ / ಕಿರಿಯ,N/A,a1
5220,"little (small amount, quantity)",adjective,ಸ್ವಲ್ಪ / ಕಡಿಮೆ / ಅಲ್ಪ,N/A,a1
5221,"little (small in size, adverb)",adverb,ಸ್ವಲ್ಪ / ಕಡಿಮೆ,N/A,a2
5222,little (a small distance),adverb,ಸ್ವಲ್ಪ ದೂರ,N/A,a2
5223,"little (a small amount of, uncountable)",adverb,ಕಡಿಮೆ / ಸ್ವಲ್ಪ / ಅಲ್ಪ,N/A,a2
5224,"little (small amount, adverb)",adverb,ಸ್ವಲ್ಪ / ಕಡಿಮೆ,N/A,a2
5225,"little (a small amount of, some)",determiner,ಸ್ವಲ್ಪ / ಕಡಿಮೆ,N/A,a1
5226,"little (quantity, amount, pronoun)",pronoun,ಸ್ವಲ್ಪ / ಕಡಿಮೆ,N/A,a1
5227,"little (size, pronoun)",pronoun,ಚಿಕ್ಕದು / ಸಣ್ಣದು,N/A,a1
5228,live (having life),adjective,ಜೀವಂತ / ಜೀವವುಳ್ಳ,N/A,b1
5229,"live (broadcast, performance)",adjective,ನೇರ / ಪ್ರತ್ಯಕ್ಷ,N/A,b1
5230,"live (electrical, active)",adjective,ಸಕ್ರಿಯ / ಚಾಲೂ,N/A,b1
5231,to live (reside),verb,ವಾಸಿಸು / ನೆಲೆಸು,intransitive,a1
5232,to live (be alive),verb,ಬದುಕು / ಜೀವಿಸು,intransitive,a1
5233,"live (performance, broadcast)",adverb,ನೇರವಾಗಿ / ಪ್ರತ್ಯಕ್ಷವಾಗಿ,N/A,b1
5234,to live (reside),verb,ವಾಸಿಸು / ನೆಲೆಸು / ಇರು,intransitive,a1
5235,to live (exist),verb,ಬದುಕು / ಜೀವಿಸು,intransitive,a1
5236,to live (have a way of life),verb,ಜೀವಿಸು / ಬದುಕು,intransitive,a1
5237,lively (place or event),adjective,ಉತ್ಸಾಹಭರಿತ / ಚುರುಕಾದ / ಕಳೆಗಟ್ಟಿದ,N/A,b2
5238,liver (as food),noun,ಕಲೀಜ / ಯಕೃತ್ತು,N/A,c1
5239,living (related to existence or standard),adjective,ಜೀವನದ,N/A,b1
5240,living (livelihood),noun,ಜೀವನೋಪಾಯ / ಬದುಕು / ಆಹಾರ,N/A,b1
5241,"load (work, burden)",noun,ಭಾರ / ಹೊರೆ,N/A,b2
5242,"load (electrical, system)",noun,ಲೋಡ್,N/A,b2
5243,"to load (cargo, vehicle)",verb,ಏರಿಸು / ಹೊರಿಸು / ತುಂಬಿಸು,transitive,b2
5244,"to load (digital data, program)",verb,ಲೋಡ್ ಮಾಡು / ಭರ್ತಿ ಮಾಡು,transitive,b2
5245,loan,noun,ಸಾಲ / ಋಣ,N/A,b2
5246,lobby (entrance hall),noun,ಲಾಬಿ / ಪ್ರವೇಶ ದ್ವಾರ,N/A,c1
5247,to lobby (political advocacy),verb,ಪ್ರಭಾವ ಬೀರು / ಲಾಬಿ ಮಾಡು / ಒತ್ತಡ ಹೇರು,transitive,c1
5248,"to lobby (to exert pressure, secure favors)",verb,ಲಾಬಿ ಮಾಡು / ಒತ್ತಡ ಹೇರು / ಪರವಾಗಿ ಕೆಲಸ ಮಾಡು,transitive,c1
5249,local,adjective,ಸ್ಥಳೀಯ / ನಾಡಿನ / ಪ್ರಾದೇಶಿಕ,N/A,a1
5250,local (adjective),adjective,ಸ್ಥಳೀಯ / ಪ್ರಾದೇಶಿಕ,N/A,b1
5251,local (person/people),noun,ಸ್ಥಳೀಯರು / ಸ್ಥಳೀಯ ವ್ಯಕ್ತಿ,N/A,b1
5252,to locate (to find after searching),verb,ಪತ್ತೆ ಹಚ್ಚು / ಹುಡುಕಿ ಕಂಡುಹಿಡಿ / ಪತ್ತೆ ಮಾಡು,transitive,b1
5253,"to locate (to place, situate, establish)",verb,ಸ್ಥಾಪಿಸು / ನೆಲೆಗೊಳಿಸು,transitive,b2
5254,to locate (to place an object),verb,ಇರಿಸು / ಇಡು,transitive,b2
5255,located (situated),adjective,ಸ್ಥಿತವಾಗಿರುವ / ಇರುವ / ನೆಲೆಸಿರುವ,N/A,b1
5256,located (set up or established),adjective,ಸ್ಥಾಪಿಸಲಾಗಿರುವ / ನಿರ್ಮಿಸಲಾಗಿರುವ / ನೆಲೆಗೊಂಡಿರುವ,N/A,b1
5257,"location (place, spot)",noun,ಸ್ಥಳ / ಜಾಗ / ತಾಣ,N/A,b1
5258,"location (official address, site)",noun,ವಿಳಾಸ / ಸ್ಥಳ / ಜಾಗ,N/A,b1
5259,lock (tress of hair),noun,ಕುರುಳು / ಜುಟ್ಟು / ಕೇಶರಾಶಿ,N/A,a2
5260,to lock,verb,ಬೀಗ ಹಾಕು,transitive,a2
5261,log (record),noun,ದಾಖಲೆ / ನಮೂದು / ವರದಿ,N/A,c1
5262,to log (cut timber),verb,ಮರ ಕೊಯ್ಲು ಮಾಡು / ಮರ ಕಡಿಯು,transitive,c1
5263,to log (record data),verb,ದಾಖಲಿಸು / ನಮೂದಿಸು / ಬರೆ,transitive,c1
5264,to log in (access a computer system),verb,ಲಾಗ್ ಇನ್ ಮಾಡು / ಪ್ರವೇಶಿಸು,intransitive,c1
5265,"rationale, logic (of a specific decision or argument)",noun,ತರ್ಕ / ಯುಕ್ತಿ / ಕಾರಣ,N/A,c1
5266,logical,adjective,ತಾರ್ಕಿಕ / ಯುಕ್ತಾಯುಕ್ತ,N/A,b2
5267,logo,noun,ಲಾಂಛನ / ಚಿಹ್ನೆ / ಗುರುತು,N/A,b2
5268,lonely (feeling sad),adjective,ಏಕಾಂಗಿಯಾಗಿರುವ / ಒಂಟಿಯಾಗಿರುವ / ಏಕಾಕಿ,N/A,b1
5269,"lonely (remote, desolate place)",adjective,ನಿರ್ಜನವಾದ / ಏಕಾಂತವಾದ / ಜನನಿಬಿಡವಲ್ಲದ,N/A,b1
5270,long (physical length),adjective,ಉದ್ದವಾದ / ನೀಳವಾದ,N/A,a1
5271,long (duration),adjective,ದೀರ್ಘ / ಸುದೀರ್ಘ / ಬಹಳ ಕಾಲದ,N/A,a1
5272,long (for a long time),adverb,ಬಹಳ ಹೊತ್ತು / ದೀರ್ಘಕಾಲ,N/A,a1
5273,long-standing,adjective,ಬಹುಕಾಲದ / ದೀರ್ಘಕಾಲದಿಂದ ಇರುವ,N/A,c1
5274,long-term,adjective,ದೀರ್ಘಕಾಲದ / ದೀರ್ಘಾವಧಿಯ,N/A,b2
5277,look (appearance),noun,ನೋಟ / ರೂಪ / ಕಾಣ್ಕೆ,N/A,a2
5278,"look (gaze, glance)",noun,ನೋಟ / ದೃಷ್ಟಿ / ಇಣುಕುನೋಟ,N/A,a2
5279,"to look (to appear, seem)",verb,ಕಾಣು / ತೋರು,intransitive,a1
5280,to look (to search for),verb,ಹುಡುಕು / ಅನ್ವೇಷಿಸು,transitive,a1
5281,to loom (to be imminent or threatening),verb,ಸಮೀಪಿಸು / ಹತ್ತಿರ ಬರು / ಆವರಿಸು,intransitive,c1
5282,to loom (to weave cloth),verb,ನೇಯ್ಗೆ ಮಾಡು / ನೆಯ್ಯಿ,transitive,c1
5283,loop (physical shape),noun,ಕುಣಿಕೆ / ಸುರುಳಿ / ಕೊಂಡಿ,N/A,c1
5284,"loop (cycle, repetition)",noun,ಆವರ್ತನ / ಚಕ್ರ / ಪುನರಾವೃತ್ತಿ,N/A,c1
5285,"loose (not fixed, slack)",adjective,ಸಡಿಲ / ಸಡಿಲವಾದ / ಅಲುಗಾಡುವ,N/A,b2
5286,"loose (clothing, not tight)",adjective,ಸಡಿಲವಾದ / ಸಡಿಲ,N/A,b1
5287,"loose (scattered, unorganized)",adjective,ಚದುರಿದ / ಚೆಲ್ಲಾಪಿಲ್ಲಿಯಾದ / ಅಸ್ತವ್ಯಸ್ತ,N/A,b2
5288,"lord (God, deity)",noun,ದೇವರು / ಪ್ರಭು / ಈಶ್ವರ,N/A,b2
5289,"lord (nobleman, master)",noun,ಒಡೆಯ / ಧಣಿ / ಪ್ರಭು,N/A,b2
5290,lorry / truck,noun,ಲಾರಿ / ಟ್ರಕ್,N/A,a2
5291,to lose (misplace or suffer deprivation),verb,ಕಳೆದುಕೊಳ್ಳು / ಕಳೆದುಹಾಕು,transitive,a1
5292,to lose (a game or contest),verb,ಸೋಲು / ಸೋಲಿಸಿಕೊ,transitive,a1
5293,loss (defeat in competition),noun,ಸೋಲು / ಪರಾಭವ,N/A,b1
5294,lost (unable to find way),adjective,ದಾರಿ ತಪ್ಪಿದ / ದಾರಿ ಕಳೆದುಕೊಂಡ,N/A,a2
5295,lost (missing or forfeited),adjective,ಕಳೆದುಹೋದ / ಕಾಣೆಯಾದ / ನಷ್ಟವಾದ,N/A,a2
5296,"a lot (adverbial degree, very much)",adverb,ತುಂಬಾ / ಬಹಳ / ಹೆಚ್ಚು,N/A,a1
5297,"a lot (quantifier, much/many)",adverb,ತುಂಬಾ / ಬಹಳ,N/A,a1
5298,a lot (a large amount/quantity),determiner,ಹೆಚ್ಚಿನ / ಬಹಳಷ್ಟು / ಅಧಿಕ,N/A,a1
5300,many,determiner,ಹಲವು / ಅನೇಕ / ಬಹಳಷ್ಟು / ಹಲವಾರು,N/A,a2
5301,lot (large quantity or amount),pronoun,ಬಹಳಷ್ಟು / ತುಂಬಾ / ಹೆಚ್ಚಿನ ಪ್ರಮಾಣ,N/A,a1
5302,"lot (very much, greatly)",adverb,ತುಂಬಾ / ಬಹಳ / ಅತ್ಯಂತ,N/A,a1
5303,lottery,noun,ಲಾಟರಿ / ಭಾಗ್ಯಚಿತ್ರ,N/A,b2
5304,mining (industrial activity),noun,ಗಣಿಗಾರಿಕೆ / ಖನಿಜೋತ್ಪಾದನೆ,N/A,c1
5305,mining (data extraction),noun,ಶೋಧನೆ / ಅನ್ವೇಷಣೆ,N/A,c1
5306,data mining,noun,ದತ್ತಾಂಶ ಶೋಧನೆ,N/A,c1
5307,minister (political official),noun,ಮಂತ್ರಿ / ಸಚಿವ,N/A,b2
5308,minister (religious cleric),noun,ಧರ್ಮಗುರು / ಪಾದ್ರಿ,N/A,b2
5309,ministry (government department),noun,ಸಚಿವಾಲಯ / ಇಲಾಖೆ,N/A,c1
5310,"ministry (religious service, vocation)",noun,ಧರ್ಮಸೇವೆ / ಧರ್ಮಕಾರ್ಯ,N/A,c1
5311,minor (underage),adjective,ಅಪ್ರಾಪ್ತ / ಅಪ್ರಾಪ್ತ ವಯಸ್ಕ,N/A,b2
5312,minority (legal status),noun,ಅಪ್ರಾಪ್ತವಯಸ್ಸು,N/A,b2
5313,minute (extremely small),adjective,ಅತಿ ಸೂಕ್ಷ್ಮ / ಅತಿ ಚಿಕ್ಕ / ಅಣುರೂಪದ,N/A,c1
5314,minute (detailed examination),adjective,ಸವಿವರವಾದ / ಸೂಕ್ಷ್ಮವಾದ / ವಿವರವಾದ,N/A,c1
5315,minute,noun,ನಿಮಿಷ,N/A,a1
5316,minutes (of a meeting),noun,ಸಭೆಯ ನಡವಳಿಕೆಗಳು / ಸಭೆಯ ವರದಿ,N/A,b2
5317,miracle,noun,ಪವಾಡ / ಅದ್ಭುತ / ಆಶ್ಚರ್ಯ,N/A,c1
5318,mirror,noun,ಕನ್ನಡಿ / ದರ್ಪಣ,N/A,a2
5319,miserable (wretched or extremely poor quality),adjective,ಶೋಚನೀಯ / ದುಃಖಕರ / ದಯನೀಯ,N/A,b2
5320,"miserable (quality, performance)",adjective,ಕಳಪೆ / ಕನಿಷ್ಠ / ಕೆಟ್ಟ,N/A,b2
5321,misery (wretched living conditions),noun,ದಾರಿದ್ರ್ಯ / ದುಃಖ / ಕಷ್ಟ,N/A,c1
5322,"misleading (deceptive, intentionally false)",adjective,ದಾರಿ ತಪ್ಪಿಸುವ / ಮೋಸಗೊಳಿಸುವ / ಸುಳ್ಳು,N/A,c1
5323,"misleading (giving a wrong impression, confusing)",adjective,ದಿಕ್ಕು ತಪ್ಪಿಸುವ / ಗೊಂದಲಗೊಳಿಸುವ / ತಪ್ಪು ತಿಳುವಳಿಕೆ ನೀಡುವ,N/A,c1
5324,"to miss (longing for someone, something)",verb,ಕಾಡು / ಹಂಬಲಿಸು / ನೆನಪಾಗು,transitive,a1
5325,to miss (a scheduled event or transportation),verb,ತಪ್ಪಿಸಿಕೋ / ಕಳೆದುಕೋ / ಬಿಟ್ಟುಬಿಡು,transitive,a1
5326,missile,noun,ಕ್ಷಿಪಣಿ,N/A,c1
5327,missing (lost or disappeared),adjective,ಕಾಣೆಯಾದ / ಕಳೆದುಹೋದ / ನಾಪತ್ತೆಯಾದ,N/A,a2
5328,missing (absent or lacking a part),adjective,ಇಲ್ಲದ / ಕೊರತೆಯಿರುವ / ಅಪೂರ್ಣವಾದ,N/A,a2
5329,mission (objective or purpose),noun,ಧ್ಯೇಯ / ಉದ್ದೇಶ / ಗುರಿ,N/A,b2
5330,mission (specific task or assignment),noun,ಕಾರ್ಯಾಚರಣೆ / ಕಾರ್ಯ / ನಿಯೋಜನೆ,N/A,b2
5331,mistake,noun,ತಪ್ಪು / ಪ್ರಮಾದ / ದೋಷ,N/A,a1
5332,to mistake (to confuse A for B),verb,ತಪ್ಪಾಗಿ ಗುರುತಿಸು / ಗೊಂದಲಗೊಳಿಸು / ತಪ್ಪು ತಿಳಿ,transitive,b2
5333,to mistake (to be factually wrong),verb,ತಪ್ಪಾಗು / ತಪ್ಪು ಮಾಡು / ಪ್ರಮಾದ ಮಾಡು,intransitive,b2
5334,mix (pre-packaged food product),noun,ಸಿದ್ಧ ಮಿಶ್ರಣ,N/A,b1
5335,"to mix (ingredients, physically)",verb,ಬೆರೆಸು / ಮಿಶ್ರಣ ಮಾಡು / ಕಲಸು,transitive,b1
5336,"to mix, mingle (socially or intermingle)",verb,ಬೆರೆತು ಹೋಗು / ಸೇರಿಕೊಳ್ಳು,intransitive,b1
5337,"mixed (feelings, results)",adjective,ಮಿಶ್ರಿತ / ಬೆರೆತ / ಸಂಕೀರ್ಣ,N/A,b2
5338,"mixed (group, company)",adjective,ಮಿಶ್ರ / ವಿವಿಧ / ಬಹುರೂಪದ,N/A,b2
5339,mixture (savory snack),noun,ಮಿಕ್ಸ್ಚರ್,N/A,b1
5340,mob (criminal organization),noun,ಅಪರಾಧಿ ಸಂಘಟನೆ / ಮಾಫಿಯಾ / ಗ್ಯಾಂಗ್,N/A,c1
5341,mobile (able to move or be moved),adjective,ಚಲಿಸಬಲ್ಲ / ಚಲನಶೀಲ / ಸುಲಭವಾಗಿ ಚಲಿಸುವ,N/A,a2
5342,mobile (relating to cell phones or communication),adjective,ಮೊಬೈಲ್ / ಸಂಚಾರಿ,N/A,a2
5343,mobile,noun,ಮೊಬೈಲ್ / ಮೊಬೈಲ್ ಫೋನ್ / ಚರ ದೂರವಾಣಿ,N/A,a2
5344,mobility (movement ability),noun,ಚಲನಶೀಲತೆ / ಚಲಿಸುವ ಸಾಮರ್ಥ್ಯ,N/A,c1
5345,"mobility (social, economic status)",noun,ಸ್ಥಾನಮಾನದ ಬದಲಾವಣೆ / ಸಾಮಾಜಿಕ ಚಲನಶೀಲತೆ,N/A,c1
5346,to mobilize (resources or military),verb,ಕ್ರೋಢೀಕರಿಸು / ಸಜ್ಜುಗೊಳಿಸು / ಒಟ್ಟುಗೂಡಿಸು,transitive,c1
5347,to mobilize (people or support),verb,ಸಂಘಟಿಸು / ಕ್ರೋಢೀಕರಿಸು / ಒಟ್ಟುಗೂಡಿಸು,transitive,c1
5348,"mode (manner, method)",noun,ವಿಧಾನ / ರೀತಿ / ಕ್ರಮ,N/A,b2
5349,mode (technical setting),noun,ಮೋಡ್ / ಸ್ಥಿತಿ / ಕಾರ್ಯವಿಧಾನ,N/A,b2
5350,model (replica or miniature),noun,ಮಾದರಿ / ಪ್ರತಿರೂಪ,N/A,a1
5351,"model (person posing for fashion, art)",noun,ಮಾಡೆಲ್ / ರೂಪದರ್ಶಿ,N/A,a1
5352,"to model (clothing, products)",verb,ಪ್ರದರ್ಶಿಸು / ತೋರಿಸು,transitive,b2
5353,"to model (to create a representation, simulate)",verb,ರೂಪಿಸು / ಮಾದರಿ ಮಾಡು / ಅನುಕರಿಸು,transitive,b2
5354,"moderate (political, ideological)",adjective,ಮಿತವಾದ / ಮಧ್ಯಮ / ಸಮತೋಲಿತ,N/A,c1
5355,modern,adjective,ಆಧುನಿಕ / ನವೀನ / ನೂತನ,N/A,a1
5356,"modest (amount, size: moderate)",adjective,ಸೀಮಿತ / ಮಧ್ಯಮ / ಅಲ್ಪ / ಸಾಧಾರಣ,N/A,b2
5357,"modest (clothing, behavior: reserved)",adjective,ವಿನೀತ / ಸಭ್ಯ / ಸಂಯಮದ / ಅಡಕವಾದ,N/A,b2
5358,"modest (clothing, appearance)",adjective,ಸಭ್ಯ / ವಿನೀತ / ಸರಳ,N/A,b2
5359,modification (amendment of document),noun,ತಿದ್ದುಪಡಿ / ಬದಲಾವಣೆ / ಪರಿಷ್ಕರಣೆ,N/A,c1
5360,to modify (formally amend),verb,ತಿದ್ದುಪಡಿ ಮಾಡು / ಬದಲಾವಣೆ ಮಾಡು / ಪರಿಷ್ಕರಿಸು / ಮಾರ್ಪಡಿಸು,transitive,b2
5361,moment,noun,ಕ್ಷಣ / ನಿಮಿಷ,N/A,a1
5362,"momentum (impetus, driving force)",noun,ಗತಿ / ಚಲನೆ / ಪ್ರೇರಣೆ,N/A,c1
5363,momentum (impetus),noun,ವೇಗ / ಚುರುಕು / ಉತ್ಸಾಹ,N/A,c1
5364,momentum (physics term),noun,ಸಂವೇಗ,N/A,c1
5365,monday,noun,ಸೋಮವಾರ,N/A,a1
5366,money (colloquial),noun,ದುಡ್ಡು / ಹಣ / ಕಾಸು,N/A,a1
5367,"money (small change, cash)",noun,ಚಿಲ್ರೆ / ಕಾಸು / ಚಿಲ್ಲರೆ,N/A,a1
5368,"money (general term, standard)",noun,ಹಣ / ದುಡ್ಡು / ದ್ರವ್ಯ,N/A,a1
5369,monitor (computer screen),noun,ಮಾನಿಟರ್ / ಪರದೆ,N/A,b2
5370,"monitor (person, supervisor)",noun,ಮೇಲ್ವಿಚಾರಕ / ಪರಿವೀಕ್ಷಕ / ವೀಕ್ಷಕ,N/A,b2
5371,to monitor,verb,ನಿಗಾ ಇಡು / ಗಮನಿಸು / ವೀಕ್ಷಿಸು,transitive,b2
5372,"to monitor (supervise, oversee)",verb,ಮೇಲ್ವಿಚಾರಣೆ ಮಾಡು / ಪರಿವೀಕ್ಷಿಸು / ನಿರ್ವಹಿಸು,transitive,b2
5373,"monk (Head of a Matha, Pontiff)",noun,ಸ್ವಾಮೀಜಿ / ಮಠಾಧೀಶ / ಪೀಠಾಧಿಪತಿ / ಗುರು,N/A,c1
5374,"monk (Wandering ascetic, Mendicant)",noun,ಸನ್ಯಾಸಿ / ಸಾಧು / ಭಿಕ್ಷು / ಯತಿ,N/A,c1
5375,monkey,noun,ಕೋತಿ / ಕಪಿ / ಮರ್ಕಟ,N/A,a2
